iZ,Z,Layer
1,10.0,1
2,20.0,1
3,30.0,1
4,40.0,1
5,50.0,1
6,60.0,1
7,70.0,1
8,80.0,1
9,90.0,1
10,100.0,1
11,110.0,2
12,120.0,2
13,130.0,2
14,140.0,2
15,150.0,2
16,160.0,2
17,170.0,2
18,180.0,2
19,190.0,2
20,200.0,2
21,210.0,2
22,220.0,2
23,230.0,2
24,240.0,2
25,250.0,2
26,260.0,2
27,270.0,2
28,280.0,2
29,290.0,2
30,300.0,2
31,310.0,2
32,320.0,2
33,330.0,2
34,340.0,2
35,360.0,3
36,380.0,3
37,400.0,3
38,420.0,3
39,440.0,3
40,460.0,3
41,480.0,3
42,500.0,3
43,520.0,3
44,540.0,3
45,560.0,3
46,580.0,3
47,600.0,3
48,620.0,3
49,640.0,3
50,660.0,3
51,680.0,3
52,700.0,3
53,720.0,3
54,740.0,3
55,760.0,3
56,780.0,3
57,800.0,3
58,820.0,3
59,840.0,3
60,860.0,3
61,880.0,3
62,900.0,3
63,920.0,3
64,940.0,3
65,960.0,3
66,980.0,3
67,1000.0,3
68,1020.0,3
69,1040.0,3
70,1060.0,3
71,1080.0,3
72,1100.0,3
73,1120.0,3
74,1140.0,3
75,1160.0,3
76,1180.0,3
77,1200.0,3
78,1220.0,3
79,1240.0,3
80,1260.0,3
81,1280.0,3
82,1300.0,3
83,1320.0,3
84,1340.0,3
85,1360.0,3
86,1380.0,3
87,1400.0,3
88,1420.0,3
89,1440.0,3
90,1460.0,3
91,1480.0,3
92,1500.0,3
