Id,H[mm],Kunsat[mm_s]
12112828000651011,0.0,0.009926905374688298
12112828000651011,10.0,0.003395484551030201
12112828000651011,100.0,0.0007142917475091465
12112828000651011,500.0,0.00012958893233361768
12112828000651011,1000.0,5.1354602604469196e-5
12112828000651011,2000.0,1.7990467196750574e-5
12112828000651011,4000.0,5.5411244487849725e-6
12112828000651011,10000.0,9.507328187153044e-7
12112828000651012,0.0,0.00636287391914437
12112828000651012,10.0,0.0025417866718266003
12112828000651012,100.0,0.000563750080492664
12112828000651012,500.0,0.00010039725834597784
12112828000651012,1000.0,3.881198927218022e-5
12112828000651012,2000.0,1.3110414872045795e-5
12112828000651012,4000.0,3.8454156733946175e-6
12112828000651012,10000.0,6.060635931994388e-7
12112828000651013,0.0,0.2053805435020151
12112828000651013,10.0,0.10890903500828723
12112828000651013,100.0,0.02636788514559616
12112828000651013,500.0,0.0027264393777686226
12112828000651013,1000.0,0.0006459763921005007
12112828000651013,2000.0,0.00011197862325015314
12112828000651013,4000.0,1.3955043092016246e-5
12112828000651013,10000.0,5.239077555271867e-7
12112828000651014,0.0,0.18413591984531058
12112828000651014,10.0,0.11020486340431371
12112828000651014,100.0,0.02644573779613637
12112828000651014,500.0,0.0019185465625475495
12112828000651014,1000.0,0.0003417223740285704
12112828000651014,2000.0,4.06828105352022e-5
12112828000651014,4000.0,3.168428580362025e-6
12112828000651014,10000.0,5.506522910845006e-8
12112828000671011,0.0,0.22277716476001552
12112828000671011,10.0,0.10070992428969808
12112828000671011,100.0,0.023442364976092582
12112828000671011,500.0,0.0038739518002277942
12112828000671011,1000.0,0.0013809191538618829
12112828000671011,2000.0,0.000415714167667151
12112828000671011,4000.0,0.00010476684982656157
12112828000671011,10000.0,1.2732189615682325e-5
12112828000671012,0.0,0.3150368783357629
12112828000671012,10.0,0.16033894210655494
12112828000671012,100.0,0.038249211781641326
12112828000671012,500.0,0.003929071246695135
12112828000671012,1000.0,0.0009259480769506702
12112828000671012,2000.0,0.0001593761523709504
12112828000671012,4000.0,1.9685304543926202e-5
12112828000671012,10000.0,7.282496987913593e-7
12112828000671013,0.0,0.3358007884432749
12112828000671013,10.0,0.18880666125053938
12112828000671013,100.0,0.04573147246167884
12112828000671013,500.0,0.004050588898104685
12112828000671013,1000.0,0.0008462856924040611
12112828000671013,2000.0,0.00012423407284029074
12112828000671013,4000.0,1.256728217729459e-5
12112828000671013,10000.0,3.3490695160709914e-7
14112824000301011,0.0,0.22335536166298453
14112824000301011,10.0,0.08697468921151587
14112824000301011,100.0,0.01915677505520489
14112824000301011,500.0,0.0032742996897475473
14112824000301011,1000.0,0.001208312528663538
14112824000301011,2000.0,0.00038189145555007984
14112824000301011,4000.0,0.00010257247499564844
14112824000301011,10000.0,1.389517359799168e-5
14112824000301012,0.0,0.17036392467669526
14112824000301012,10.0,0.07852315414875535
14112824000301012,100.0,0.0184945242428579
14112824000301012,500.0,0.0027853827812455096
14112824000301012,1000.0,0.000909445054897678
14112824000301012,2000.0,0.00024253421515639046
14112824000301012,4000.0,5.224619296320416e-5
14112824000301012,10000.0,4.870594871043688e-6
14112824000301013,0.0,0.188178962341158
14112824000301013,10.0,0.09844832355824171
14112824000301013,100.0,0.02370879536230899
14112824000301013,500.0,0.0024354243584407856
14112824000301013,1000.0,0.0005739319152782197
14112824000301013,2000.0,9.878306421306196e-5
14112824000301013,4000.0,1.2200649334865784e-5
14112824000301013,10000.0,4.513265742797818e-7
14112824000301014,0.0,0.15352685036642583
14112824000301014,10.0,0.08276138090851044
14112824000301014,100.0,0.020259427052983475
14112824000301014,500.0,0.002208917328091309
14112824000301014,1000.0,0.0005466913374937557
14112824000301014,2000.0,0.00010041885606054221
14112824000301014,4000.0,1.3461571717928046e-5
14112824000301014,10000.0,5.699770482676617e-7
15352815000491011,0.0,0.2788001154104429
15352815000491011,10.0,0.11012396822554026
15352815000491011,100.0,0.02437042428069927
15352815000491011,500.0,0.004193821609042237
15352815000491011,1000.0,0.0015588990695700794
15352815000491011,2000.0,0.0004977785572635873
15352815000491011,4000.0,0.00013551602569214773
15352815000491011,10000.0,1.8787046052088292e-5
15352815000491012,0.0,0.2801030714945469
15352815000491012,10.0,0.1327760475372855
15352815000491012,100.0,0.03157009983589816
15352815000491012,500.0,0.004790370426515043
15352815000491012,1000.0,0.001574769221664026
15352815000491012,2000.0,0.0004238965175460701
15352815000491012,4000.0,9.241693620549729e-5
15352815000491012,10000.0,8.79105506513465e-6
15352815000491013,0.0,0.16184614964345817
15352815000491013,10.0,0.08530694320064869
15352815000491013,100.0,0.02100874573737677
15352815000491013,500.0,0.0027848602125786098
15352815000491013,1000.0,0.0008123537548579946
15352815000491013,2000.0,0.00018591830270810595
15352815000491013,4000.0,3.2930153891172956e-5
15352815000491013,10000.0,2.2126022801163802e-6
15352815000491014,0.0,0.16814186166707257
15352815000491014,10.0,0.09619632138796022
15352815000491014,100.0,0.023598245283577794
15352815000491014,500.0,0.0022048483360524616
15352815000491014,1000.0,0.00048096406105042634
15352815000491014,2000.0,7.473878367618912e-5
15352815000491014,4000.0,8.118977304462998e-6
15352815000491014,10000.0,2.431972172492355e-7
15352815000521011,0.0,0.2572348091999972
15352815000521011,10.0,0.1329049393342991
15352815000521011,100.0,0.032368064529140386
15352815000521011,500.0,0.0039369856736993745
15352815000521011,1000.0,0.001067395608525702
15352815000521011,2000.0,0.00022142368841177788
15352815000521011,4000.0,3.461605021056294e-5
15352815000521011,10000.0,1.8901160779578948e-6
15352815000521012,0.0,0.20874022369447
15352815000521012,10.0,0.1069164125745828
15352815000521012,100.0,0.025870047411164863
15352815000521012,500.0,0.0030025343823368027
15352815000521012,1000.0,0.0007826914493237251
15352815000521012,2000.0,0.00015405982801371237
15352815000521012,4000.0,2.253624858012373e-5
15352815000521012,10000.0,1.1022732658232842e-6
15352815000521013,0.0,0.1705258990697488
15352815000521013,10.0,0.0947946973177787
15352815000521013,100.0,0.023120124883135872
15352815000521013,500.0,0.0022239352772806605
15352815000521013,1000.0,0.0004967229419831513
15352815000521013,2000.0,7.96342004170862e-5
15352815000521013,4000.0,8.996107403882407e-6
15352815000521013,10000.0,2.8736321609434043e-7
15352815000521014,0.0,0.15409277454964734
15352815000521014,10.0,0.09134013757400572
15352815000521014,100.0,0.022107642707276404
15352815000521014,500.0,0.0017288405461995506
15352815000521014,1000.0,0.0003268763650977433
15352815000521014,2000.0,4.208164363552787e-5
15352815000521014,4000.0,3.6129102666222553e-6
15352815000521014,10000.0,7.361744389839493e-8
22192923000421011,0.0,0.2069718392618903
22192923000421011,10.0,0.06851013636962297
22192923000421011,100.0,0.01421398735093823
22192923000421011,500.0,0.002565751614059277
22192923000421011,1000.0,0.0010095872173471196
22192923000421011,2000.0,0.00034997862628829616
22192923000421011,4000.0,0.00010627708314908343
22192923000421011,10000.0,1.7789603730789315e-5
22192923000421012,0.0,0.16364295089178463
22192923000421012,10.0,0.0643749548191491
22192923000421012,100.0,0.014220601222321046
22192923000421012,500.0,0.0024593356249941758
22192923000421012,1000.0,0.0009191023763506377
22192923000421012,2000.0,0.0002957354225932895
22192923000421012,4000.0,8.132691671921538e-5
22192923000421012,10000.0,1.1471017368353647e-5
22192923000421013,0.0,0.0015965599488834753
22192923000421013,10.0,0.0007552338630732402
22192923000421013,100.0,0.00017939725727150857
22192923000421013,500.0,2.7430110172862458e-5
22192923000421013,1000.0,9.080675462744112e-6
22192923000421013,2000.0,2.467920061506058e-6
22192923000421013,4000.0,5.447490939610614e-7
22192923000421013,10000.0,5.290901087216101e-8
22192923000421014,0.0,0.2449914362467495
22192923000421014,10.0,0.13579938863534338
22192923000421014,100.0,0.033356013398347296
22192923000421014,500.0,0.0034376681159755057
22192923000421014,1000.0,0.0008122660422997961
22192923000421014,2000.0,0.00014029538610458445
22192923000421014,4000.0,1.740443021656898e-5
22192923000421014,10000.0,6.485194423985752e-7
22192923000421015,0.0,0.001499291701298113
22192923000421015,10.0,0.0008326309340602956
22192923000421015,100.0,0.00020586678997630691
22192923000421015,500.0,2.2482017627990514e-5
22192923000421015,1000.0,5.571398296150705e-6
22192923000421015,2000.0,1.0251566518274988e-6
22192923000421015,4000.0,1.3772734732525228e-7
22192923000421015,10000.0,5.8525986113424286e-9
28112417000741011,0.0,0.2983179086725606
28112417000741011,10.0,0.1326629941650834
28112417000741011,100.0,0.03085208369511069
28112417000741011,500.0,0.004661704481193347
28112417000741011,1000.0,0.0015266541974473674
28112417000741011,2000.0,0.0004088104451678425
28112417000741011,4000.0,8.853217659774231e-5
28112417000741011,10000.0,8.327058594170855e-6
28112417000741012,0.0,0.2454164318915198
28112417000741012,10.0,0.13872655669937176
28112417000741012,100.0,0.03386481768183969
28112417000741012,500.0,0.003139905415375916
28112417000741012,1000.0,0.0006807014937784789
28112417000741012,2000.0,0.00010491415403135236
28112417000741012,4000.0,1.1280579245022446e-5
28112417000741012,10000.0,3.3225484727899273e-7
28112417000741013,0.0,0.17120734567417295
28112417000741013,10.0,0.10171743461987029
28112417000741013,100.0,0.024491171303599225
28112417000741013,500.0,0.001842394604926456
28112417000741013,1000.0,0.0003377538497259104
28112417000741013,2000.0,4.17568606661831e-5
28112417000741013,4000.0,3.4085845582796674e-6
28112417000741013,10000.0,6.396009465547794e-8
28112417000741014,0.0,0.001840619033827907
28112417000741014,10.0,0.0010912466170229745
28112417000741014,100.0,0.0002644612838574771
28112417000741014,500.0,2.0849985001251787e-5
28112417000741014,1000.0,3.967813247454757e-6
28112417000741014,2000.0,5.151765763850186e-7
28112417000741014,4000.0,4.4702384049787494e-8
28112417000741014,10000.0,9.26799961019363e-10
28311126000133011,0.0,0.1630589279521554
28311126000133011,10.0,0.06338972100186982
28311126000133011,100.0,0.013929582886423948
28311126000133011,500.0,0.0024573652242300603
28311126000133011,1000.0,0.0009392511251280427
28311126000133011,2000.0,0.00031210300799531994
