Id,Diameter[mm],Cumul_Psd
12112828000651011,0.002,0.2
12112828000651011,0.06,0.925
12112828000651011,2,1
12112828000651012,0.002,0.175
12112828000651012,0.06,0.925
12112828000651012,2,1
12112828000651013,0.002,0.14
12112828000651013,0.06,0.25
12112828000651013,2,1
12112828000651014,0.002,0.02
12112828000651014,0.06,0.07499999999999996
12112828000651014,2,1
12112828000671011,0.002,0.18
12112828000671011,0.06,0.7949999999999999
12112828000671011,2,1
12112828000671012,0.002,0.15
12112828000671012,0.06,0.30000000000000004
12112828000671012,2,1
12112828000671013,0.002,0.015
12112828000671013,0.06,0.09999999999999998
12112828000671013,2,1
14112824000301011,0.002,0.26
14112824000301011,0.06,0.81
14112824000301011,2,1
14112824000301012,0.002,0.26
14112824000301012,0.06,0.81
14112824000301012,2,1
14112824000301013,0.002,0.2
14112824000301013,0.06,0.31499999999999995
14112824000301013,2,1
14112824000301014,0.002,0.06
14112824000301014,0.06,0.17500000000000004
14112824000301014,2,1
15352815000491011,0.002,0.16
15352815000491011,0.06,0.7
15352815000491011,2,1
15352815000491012,0.002,0.16
15352815000491012,0.06,0.7
15352815000491012,2,1
15352815000491013,0.002,0.14
15352815000491013,0.06,0.6
15352815000491013,2,1
15352815000491014,0.002,0.08
15352815000491014,0.06,0.30000000000000004
15352815000491014,2,1
15352815000521011,0.002,0.15
15352815000521011,0.06,0.6
15352815000521011,2,1
15352815000521012,0.002,0.14
15352815000521012,0.06,0.4
15352815000521012,2,1
15352815000521013,0.002,0.045
15352815000521013,0.06,0.15000000000000002
15352815000521013,2,1
15352815000521014,0.002,0.02
15352815000521014,0.06,0.08499999999999996
15352815000521014,2,1
22192923000421011,0.002,0.225
22192923000421011,0.06,0.885
22192923000421011,2,1
22192923000421012,0.002,0.24
22192923000421012,0.06,0.885
22192923000421012,2,1
22192923000421013,0.002,0.215
22192923000421013,0.06,0.825
22192923000421013,2,1
22192923000421014,0.002,0.015
22192923000421014,0.06,0.15000000000000002
22192923000421014,2,1
22192923000421015,0.002,0.025
22192923000421015,0.06,0.15000000000000002
22192923000421015,2,1
28112417000741011,0.002,0.125
28112417000741011,0.06,0.475
28112417000741011,2,1
28112417000741012,0.002,0.125
28112417000741012,0.06,0.475
28112417000741012,2,1
28112417000741013,0.002,0.045
28112417000741013,0.06,0.17500000000000004
28112417000741013,2,1
28112417000741014,0.002,0.01
28112417000741014,0.06,0.06000000000000005
28112417000741014,2,1
28311126000133011,0.002,0.2
28311126000133011,0.06,0.8
28311126000133011,2,1
28311126000133012,0.002,0.2
28311126000133012,0.06,0.8
28311126000133012,2,1
28311126000133013,0.002,0.15
28311126000133013,0.06,0.4
28311126000133013,2,1
28311126000133014,0.002,0.025
28311126000133014,0.06,0.09999999999999998
28311126000133014,2,1
28311126000141011,0.002,0.275
28311126000141011,0.06,0.74
28311126000141011,2,1
28311126000141012,0.002,0.25
28311126000141012,0.06,0.675
28311126000141012,2,1
28311126000141013,0.002,0.13
28311126000141013,0.06,0.30000000000000004
28311126000141013,2,1
28311126000141014,0.002,0.075
28311126000141014,0.06,0.19999999999999996
28311126000141014,2,1
