Id,WofBest,RmseBest,Efficiency,Global_WaterBalance,Global_WaterBalance_NormPr,ΔT_Average,∑∑ΔSink,∑ΔQ_Bot,SwcRoots,iNonConverge,ΔRunTimeHypix
1.0,0.011303258361656176,0.011303258361656176,250.0,0.6576599220842922,0.11264197307875111,3586.0,264.4551789319486,257.3403407781321,333.4406432666222,0.0,2912.475
2.0,0.010943240363719794,0.010943240363719794,247.0,0.7060308747791169,0.12092616344287876,3572.0,258.5349907668306,256.7747622954968,342.11760358229367,0.0,5959.217
3.0,0.00943645925078051,0.00943645925078051,247.0,0.6967013587108681,0.11932884530486783,3567.0,245.4730706151743,268.0981999533248,343.757555189295,0.0,8917.51
4.0,0.008840267301040471,0.008840267301040471,252.0,0.6633032158572973,0.11360823844262946,3552.0,243.4105766878036,266.04980186948194,350.17604038278085,0.0,11970.297
5.0,0.008745250200886293,0.008745250200886293,253.0,0.6565428847368935,0.11245115664646627,3553.0,242.82616994067038,267.84871468611266,349.9461585511186,0.0,16988.149
6.0,0.00783056422541613,0.00783056422541613,252.0,0.6577044864964989,0.11264897524615534,3555.0,243.126747320544,269.98885898045125,344.73051394906327,0.0,22579.148
7.0,0.00783056422541613,0.00783056422541613,252.0,0.6577044864964989,0.11264897524615534,3555.0,243.126747320544,269.98885898045125,344.73051394906327,0.0,26020.972
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
