Layer Cm/H,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,0.9395488799999998,0.1215027849749695,0.07796363175385858,0.057981680985054795,0.0461944420654397,0.03833998352487631,0.032705868463921185,0.028457907268134606,0.025137185844478122,0.022468921329422565,0.020277926898568725,0.009787649128057772,0.006115562958032969,0.004292123995180438,0.0032229023514235796,0.002530428151011365,0.0020510118690379576,0.0017027381823152027,0.001440337459173418,0.0012368905183357092,0.00042713977984018623,0.00021804237580389028,0.0001322250298577594,8.851302015162868e-5,6.320940207645417e-5,4.725615179876479e-5,3.656168768705276e-5,2.90524235601479e-5,2.3584643149794804e-5,1.0307261947500894e-5,5.589713225823428e-6,2.278111718712325e-6,1.2385969422592473e-7
2.0,0.9395488799999998,0.1215027849749695,0.07796363175385858,0.057981680985054795,0.0461944420654397,0.03833998352487631,0.032705868463921185,0.028457907268134606,0.025137185844478122,0.022468921329422565,0.020277926898568725,0.009787649128057772,0.006115562958032969,0.004292123995180438,0.0032229023514235796,0.002530428151011365,0.0020510118690379576,0.0017027381823152027,0.001440337459173418,0.0012368905183357092,0.00042713977984018623,0.00021804237580389028,0.0001322250298577594,8.851302015162868e-5,6.320940207645417e-5,4.725615179876479e-5,3.656168768705276e-5,2.90524235601479e-5,2.3584643149794804e-5,1.0307261947500894e-5,5.589713225823428e-6,2.278111718712325e-6,1.2385969422592473e-7
3.0,0.2416197599999999,0.019095796321832857,0.011635390132798885,0.008436362103203672,0.006617810425398255,0.00543516601566474,0.004601610096849466,0.003981489390693058,0.0035018302121292946,0.0031197101397392487,0.0028081617861192044,0.001344576059575231,0.0008427228506352402,0.0005949525885741083,0.000449778920711829,0.00035561918915651483,0.000290257810366286,0.00024261968251511372,0.0002065964550103572,0.0001785588464151726,6.510058035617857e-5,3.464711910910336e-5,2.174178570810374e-5,1.4985843326326942e-5,1.097983411612837e-5,8.399182632392035e-6,6.6350517784086e-6,5.373907116703132e-6,4.440228128840585e-6,2.0877492367077526e-6,1.1985290185980278e-6,5.331050631644195e-7,3.9534859979282955e-8
4.0,0.4042026,0.05822417574599733,0.037556389673959995,0.028169886435006036,0.02264075634715805,0.018950355700534473,0.01629534997463196,0.014286386747518264,0.012709846716573376,0.011437984495734079,0.010389386146436861,0.005281076976396279,0.003428165969794856,0.0024813036623377188,0.0019124451551174432,0.0015361346576269106,0.0012706322069214752,0.0010744243296588393,0.0009242557309203752,0.000806122825726371,0.0003119650526998463,0.00017188725503686022,0.00011053456925764503,7.764076520119555e-5,5.7767379865123e-5,4.476622532094715e-5,3.576153469742944e-5,2.925060156044514e-5,2.4381571342319985e-5,1.1855115076865635e-5,6.968064983642967e-6,3.2029094953779238e-6,2.611024978991649e-7
