Horizon Cm/H,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,9.982944433397016,2.0120449637335804,1.3051901832551849,0.9731161741920888,0.7751856698653394,0.6425589060792666,0.5471243809722125,0.47504389740400527,0.41864848105840297,0.37332131286829356,0.33610688559326835,0.15856155397182845,0.09717242233297503,0.06707679654890486,0.0496391183648299,0.03846952287951909,0.030814962041331915,0.025306715014304978,0.021193214742632756,0.018030324316393516,0.0058017924981106144,0.002820307482149013,0.0016462062364943808,0.0010676556321531578,0.0007419851394244125,0.0005415975319156903,0.000410142212111501,0.00031962589430664483,0.0002548840080542059,0.00010360270792739822,5.316820500629401e-5,1.9940934024377917e-5,8.161280019120476e-7
2.0,17.29967371993414,1.5500979071160568,0.9519751366170597,0.6911993166649382,0.5418752722871991,0.4444036686115399,0.3755676186853018,0.32430761455349283,0.2846446862672944,0.2530493901852732,0.22729829182732955,0.10674776739412367,0.06584857228753871,0.045866938639624696,0.03427120122595634,0.026815856876207092,0.021682214760979056,0.01796838133138603,0.015179463604795053,0.013022862495928914,0.004492007354583266,0.0023014005259215198,0.0014020471875814955,0.0009430160355688394,0.0006765782950245482,0.0005080978596581516,0.0003948090364676139,0.0003150173876739026,0.000256741493696794,0.00011418509792554863,6.28384539585798e-5,2.622967610375061e-5,1.5664591728165852e-6
3.0,2.0521759163790776,0.22828587833427946,0.14637261742856586,0.10940032185392559,0.0877023485526799,0.07325946772084121,0.06289116076547213,0.05505982530955354,0.04892357725925578,0.04397983352052306,0.03990876854653245,0.020153988400585608,0.013031953945125702,0.009406235350578924,0.007233998813894118,0.005800178007639603,0.004790400655248962,0.004045330946970392,0.0034758641314485824,0.003028423796744762,0.0011638606996503295,0.0006386355646971224,0.0004094804477716427,0.0002869673598102273,0.00021311413069914533,0.00016488876647156273,0.00013154031475176036,0.00010746064095897739,8.947533857639959e-5,4.332343804159845e-5,2.538816420888474e-5,1.1620657890928844e-5,9.355044253275619e-7
4.0,2.0521759163790776,0.22828587833427946,0.14637261742856586,0.10940032185392559,0.0877023485526799,0.07325946772084121,0.06289116076547213,0.05505982530955354,0.04892357725925578,0.04397983352052306,0.03990876854653245,0.020153988400585608,0.013031953945125702,0.009406235350578924,0.007233998813894118,0.005800178007639603,0.004790400655248962,0.004045330946970392,0.0034758641314485824,0.003028423796744762,0.0011638606996503295,0.0006386355646971224,0.0004094804477716427,0.0002869673598102273,0.00021311413069914533,0.00016488876647156273,0.00013154031475176036,0.00010746064095897739,8.947533857639959e-5,4.332343804159845e-5,2.538816420888474e-5,1.1620657890928844e-5,9.355044253275619e-7
