,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,SIM_100,SIM_101,OPT_100,OPT_101
Vector,hydro,Ks,1,5.50E-05,0.08,1,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,4.18E-05,0.044967823,1,1,0,1,0,0,0,0,0,0,0.044967823,0.00017173,0,0
Vector,hydro,Ks,2,5.50E-05,0.08,1,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.011014506,0.009346288,1,1,0,0,1,1,0,0,0,0,0.009346288,0.016980355,0,0
Vector,hydro,Ks,3,5.50E-05,0.08,1,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,0.061277758,1,1,0,0,1,0,1,0,0,0,0.061277758,0.026088819,0,0
Vector,hydro,Ks,4,5.50E-05,0.08,1,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.010037771,0.024351819,1,0,1,0,0,0,0,1,0,0,0.024351819,0.005993952,0,0
Vector,hydro,Ks,5,5.50E-05,0.08,1,0.001728526,0.001728526,0.001728526,0.001728526,0.001728526,0.001728526,0.001728526,0.001728526,0.001728526,0.024351819,1,0,1,0,0,0,0,0,1,0,0.024351819,0.000208959,0,0
Vector,hydro,Ψm,1,94.87735836,16275479.14,1,29515.83347,29515.83347,29515.83347,29515.83347,29515.83347,29515.83347,29515.83347,29515.83347,29515.83347,27526.92837,1,1,0,1,0,0,0,0,0,0,27526.92837,19204.31199,0,0
Vector,hydro,Ψm,2,94.87735836,16275479.14,1,15989.32695,15989.32695,15989.32695,15989.32695,15989.32695,15989.32695,15989.32695,15989.32695,15989.32695,42457.84472,1,1,0,0,1,1,0,0,0,0,42457.84472,12892.84094,0,0
Vector,hydro,Ψm,3,94.87735836,16275479.14,1,36779.90613,36779.90613,36779.90613,36779.90613,36779.90613,36779.90613,36779.90613,36779.90613,36779.90613,201784.5968,1,1,0,0,1,0,1,0,0,0,201784.5968,86311.35109,0,0
Vector,hydro,Ψm,4,94.87735836,16275479.14,1,93299.06871,93299.06871,93299.06871,93299.06871,93299.06871,93299.06871,93299.06871,93299.06871,93299.06871,150219.0145,1,0,1,0,0,0,0,1,0,0,150219.0145,307926.1797,0,0
Vector,hydro,Ψm,5,94.87735836,16275479.14,1,77290.35537,77290.35537,77290.35537,77290.35537,77290.35537,77290.35537,77290.35537,77290.35537,77290.35537,150219.0145,1,0,1,0,0,0,0,0,1,0,150219.0145,111525.8205,0,0
