Id,0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
13111928000041011,0.48500000000000004,0.4053074650993842,0.38717570621422576,0.36284651024116166,0.3417982862935764,0.3330910339351903,0.2889773174647679,0.18459834109139797
13111928000041012,0.405,0.35440937901782615,0.34216000006297365,0.3258445830270784,0.3118703546774278,0.3061322870458999,0.2774987655574407,0.21395548152333962
13111928000041013,0.381,0.36388858202246316,0.3601182946187367,0.35483732311783667,0.3499306010681221,0.3477836351524294,0.33549142346420363,0.2831891003801268
13111928000041014,0.385,0.3684666539218984,0.3653615876530189,0.3610234220727893,0.35698301572893004,0.35520926061939156,0.34495709721892953,0.29856557871576195
13112428000011011,0.522,0.3192458892959302,0.2761352736496275,0.22703658607375815,0.19201737566189636,0.17936716514187043,0.1296374383371633,0.08253498359090329
13112428000011012,0.44515,0.26047194409152646,0.21925088853204097,0.17568111440933806,0.14710092211041992,0.13735639126416535,0.10268225812278334,0.07847934211197002
13112428000011013,0.105,0.10024418998680601,0.10022851680687322,0.10020468643838142,0.10018062716796686,0.10016952084819976,0.10009899518856692,0.09963317145973083
13112428000011014,0.411,0.20755645455318483,0.157749153480928,0.11187001730202849,0.08602732488615761,0.07809367587764186,0.05429698576233971,0.04403745180103831
13112428320021011,0.503,0.33775268579195383,0.30967146424479525,0.27617485180425233,0.25099258627865734,0.24155785250372194,0.2019695998591294,0.15556253515936086
13112428320021012,0.105,0.10024418994055165,0.10022851676075709,0.10020468639247546,0.1001806271222731,0.10016952080260395,0.10009899514359316,0.09963317141886559
13112428320021013,0.375,0.22985427916182627,0.19084643706233226,0.14977267961909152,0.12294387163979166,0.11382319509022112,0.08152861852350882,0.059312603957094465
13112428320021021,0.503,0.3377526988520574,0.3096715041276524,0.276174915457721,0.2509926607172232,0.241557929138386,0.20196967166924049,0.1555625459358999
13112428320021022,0.105,0.10024418996353154,0.10022851678366829,0.10020468641528223,0.10018062714497442,0.1001695208252566,0.10009899516593669,0.09963317143916754
