Id,SoilName,Depth_mm,IsTopsoil,RockFragment_%,RockDepth_mm,MaxRootingDepth_mm,θs,θr,Ks,Ψm,σ,σMac,ΨmMac,θsMacMat,θsMacMat_ƞ,0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
11221219000011021,Albi_1a.2,100.0,1,0.0,3000.0,1000.0,0.474,0.1096380269222422,0.19203367161777457,20363.270688840712,2.5396343357245534,0.869080366867916,0.7675,10.0,0.41194409389539216,0.47400000000000003,0.39011808714301294,0.3763696324279984,0.35740062641382114,0.3403514860317484,0.3330962930503026,0.29412599286004315,0.17488996336515028
11221219000011022,Albi_1a.2,350.0,0,0.25,3000.0,1000.0,0.32925,0.08776371265882363,0.003735286076358107,7285.584293599325,2.1970226082372855,0.8821954367080223,0.7675,10.0,0.29046284753611634,0.32925,0.26789299524143173,0.25336421548013394,0.2340864403217161,0.21764411824575736,0.21091179268607435,0.17749728423908534,0.10485037971822633
11221219000011023,Albi_1a.2,1000.0,0,0.0,3000.0,1000.0,0.393,0.09256326128827913,0.00673812950998433,9164.529936730614,2.2735035922843254,0.920734623614315,0.7675,10.0,0.3618487070804258,0.393,0.33481349519868536,0.31743686918799174,0.2941027674188837,0.2738951623653425,0.26552956188284754,0.2230844510982758,0.1220339636132621
11352815000261011,Ayre_26a.1,100.0,1,0.0,3000.0,1000.0,0.519,2.9827331581050533e-7,0.020421215500219282,106120.52783638706,3.0899150717089445,0.9384862346418119,0.7675,10.0,0.4870743557791004,0.519,0.46687807975887186,0.45513636431842774,0.4386855116073347,0.42342735145821303,0.41676342148114737,0.3787935382076709,0.22182019293044972
11352815000261012,Ayre_26a.1,350.0,0,0.0,3000.0,1000.0,0.478,0.17715050236471513,0.005766628491430447,31738.846123007293,2.687570507873918,0.9136458182609386,0.7675,10.0,0.43672270112872863,0.478,0.4208250737887687,0.4109898856824618,0.39730993043961543,0.3848542833213568,0.37950016564386746,0.35010542344793183,0.2502648481079906
11352815000261013,Ayre_26a.1,1000.0,0,0.45,3000.0,1000.0,0.2969,0.10999999999960647,0.0019123930118515463,16188.85111522157,2.463164329411002,0.8807628106945281,0.7675,10.0,0.2614984784952054,0.2969,0.24952920355668518,0.2419313714809845,0.23150990086401865,0.2222232008438051,0.2182968578040774,0.1974948065683671,0.13773020172716843
11352815000261014,Ayre_26a.1,1020.0,0,0.65,3000.0,1000.0,0.18365,0.023199999999802004,0.0013671717209064592,2260.127182233293,1.8068637576608033,0.7910311951722729,0.7675,10.0,0.14527287899338792,0.18365,0.12062829437379707,0.10549055238607018,0.08752954966989214,0.0741088911331629,0.06910200868691803,0.04825373466714225,0.024435534783007327
12112828000671021,Barr_67a.2,100.0,1,0.0,3000.0,1000.0,0.483,0.08361206123823696,0.16502913167012603,12693.434532217983,2.382085026326013,0.8908960671407636,0.7675,10.0,0.43030280042898883,0.483,0.40004557092427934,0.3807111934967465,0.3543969655347712,0.3312000254948559,0.3214711321970153,0.27078220219528915,0.1355926701236304
12112828000671022,Barr_67a.2,350.0,0,0.0,3000.0,1000.0,0.424,0.12160242292629274,0.25465368038101116,4017.187115209317,1.9985840403670667,0.8059539543195375,0.7675,10.0,0.3417244766314839,0.424,0.30902180053547795,0.28817270129134737,0.2616973421105036,0.24029056657376796,0.23185184179898627,0.19293919755282596,0.12931693330087674
12112828000671023,Barr_67a.2,1000.0,0,0.0,3000.0,1000.0,0.43,0.05499999999998992,0.33748000941353296,1339.4773826925762,1.632483236986023,0.7500000000005654,0.7675,10.0,0.32250000000024315,0.43,0.24946111723794714,0.20775501571778046,0.1628058696541777,0.13267309352178,0.12224411723648149,0.08417866597300716,0.05551477999814443
12283124300041021,Brunt_4a.2,100.0,1,0.0,3000.0,1000.0,0.623,0.19184197454525181,0.16726431117535032,10450.823057197631,2.3172836404354,0.9157434755991719,0.7675,10.0,0.5705081852982841,0.623,0.5346134007605045,0.5115857994038637,0.48048106525943735,0.45333674444884287,0.44203652559567075,0.3840495441084758,0.23923351219350628
12283124300041022,Brunt_4a.2,350.0,0,0.0,3000.0,1000.0,0.674,0.199999999999749,0.5184114887620905,6421.317990444323,2.1549311923596655,0.7595474115015226,0.7675,10.0,0.5119349553520263,0.674,0.47510038378883457,0.45139486157948305,0.4201797566207963,0.39380791230113804,0.383083308248294,0.330566112670528,0.2224089892819072
12283124300041023,Brunt_4a.2,1000.0,0,0.0,3000.0,1000.0,0.622,0.19999999999934576,0.3213718623706497,42143.42345604565,2.782082943705773,0.8359425637337021,0.7675,10.0,0.5199562746423627,0.622,0.5022036143362966,0.49136485809579783,0.4762386447153653,0.46238027607392135,0.45639315812554243,0.4231508083936233,0.3036898993923761
12283124300041024,Brunt_4a.2,1020.0,0,0.0,3000.0,1000.0,0.613,0.1093110933269414,0.2695961756760174,43036.27496064319,2.789071183259214,0.8642013191976717,0.7675,10.0,0.5297554086681727,0.613,0.5065926612492142,0.49246523334860565,0.4727455228665321,0.4546713461900528,0.44686029418489615,0.4034579016256857,0.24687820146700262
13282523000031021,Crom_3a.2,100.0,1,0.0,3000.0,1000.0,0.52,1.5972243596848372e-14,0.0223418999827607,26594.1744171348,1.8610924259828578,0.9418660616099949,0.7675,10.0,0.4897703520371973,0.52,0.4817520453317511,0.47068449276985513,0.44950469695178674,0.4255671091095481,0.41416754802589656,0.3430358445219106,0.08634993310849813
13282523000031022,Crom_3a.2,350.0,0,0.0,3000.0,1000.0,0.456,0.07099999999998811,0.35874407693466553,1904.3560745973584,1.7497713729469504,0.7500000000001311,0.7675,10.0,0.3420000000000598,0.456,0.28174200098446023,0.24541884562179136,0.20347262551419862,0.17308149705953912,0.16198319798985103,0.11750752887371789,0.07270448892761694
13282523000031023,Crom_3a.2,1000.0,0,0.0,3000.0,1000.0,0.464,0.06899999999993595,0.24951523699976563,2105.2990671445414,1.7832092391928458,0.8282580141925376,0.7675,10.0,0.38431171858533747,0.464,0.31807521736271305,0.2776849649598956,0.2302748955377918,0.19528224265272842,0.18233829714490363,0.12926231319443737,0.07163882377040354
