Id,SELECT_1,SELECT_1,Id_Origine
1,1,1,PP18-0602
2,1,1,PP18-0603
3,1,1,PP18-0604
4,1,1,PP18-0605
5,1,1,PP18-0606
6,1,1,PP18-0607
7,1,1,PP18-0608
8,1,1,PP18-0609
9,1,1,PP18-0610
10,1,1,PP18-0611
11,1,1,PP18-0612
12,1,1,PP18-0613
13,1,1,PP18-0614
14,1,1,PP18-0615
15,1,1,PP18-0616
16,1,0,PP18-0617
17,1,1,PP18-0618
18,1,1,PP18-0619
19,1,1,PP18-0620
20,1,1,PP18-0621
21,1,1,PP18-0622
22,1,1,PP18-0623
23,1,0,PP18-0624
24,1,1,PP18-0625
25,1,1,PP18-0641
26,1,1,PP18-0642
27,1,1,PP18-0643
28,1,1,PP18-0644
29,1,1,PP18-0645
30,1,1,PP18-0646
31,1,1,PP18-0647
32,1,1,PP18-0648
33,1,1,PP18-0649
34,1,1,PP18-0650
35,1,1,PP18-0651
36,1,1,PP18-0652
37,1,1,PP18-0653
38,1,1,PP18-0654
39,1,1,PP18-0655
40,1,1,PP18-0656
41,1,1,PP18-0657
42,1,1,PP18-0658
43,1,1,PP18-0659
44,1,1,PP18-0660
45,1,1,PP18-0661
46,1,1,PP18-0662
47,1,1,PP18-0663
48,1,1,PP18-0664
49,1,1,PP18-0665
50,1,1,PP18-0666
51,1,1,PP18-0667
52,1,1,PP18-0687
53,1,1,PP18-0688
54,1,1,PP18-0689
55,1,1,PP18-0690
56,1,1,PP18-0691
57,1,1,PP18-0692
58,1,1,PP18-0693
59,1,1,PP18-0694
60,1,1,PP18-0695
61,1,1,PP18-0696
62,1,1,PP18-0697
63,1,1,PP18-0698
64,1,1,PP18-0699
65,1,1,PP18-0700
66,1,1,PP18-0701
