Id,Diameter[mm],Cumul_Psd
1,0.002,0.26
1,0.006,0.34
1,0.01,0.42
1,0.02,0.58
1,0.063,0.93
1,0.125,0.98
1,0.25,0.99
1,0.5,0.99
1,1,1
1,2,1
2,0.002,0.29
2,0.006,0.38
2,0.01,0.45
2,0.02,0.6
2,0.063,0.93
2,0.125,0.99
2,0.25,0.99
2,0.5,0.99
2,1,1
2,2,1
3,0.002,0.32
3,0.006,0.42
3,0.01,0.48
3,0.02,0.64
3,0.063,0.95
3,0.125,0.99
3,0.25,0.99
3,0.5,0.99
3,1,1
3,2,1
4,0.002,0.38
4,0.006,0.46
4,0.01,0.53
4,0.02,0.66
4,0.063,0.9
4,0.125,0.95
4,0.25,0.96
4,0.5,0.97
4,1,0.99
4,2,1
5,0.002,0.46
5,0.006,0.52
5,0.01,0.6
5,0.02,0.73
5,0.063,0.93
5,0.125,0.98
5,0.25,0.99
5,0.5,1
5,1,1
5,2,1
6,0.002,0.28
6,0.006,0.36
6,0.01,0.43
6,0.02,0.6
6,0.063,0.93
6,0.125,0.98
6,0.25,0.99
6,0.5,0.99
6,1,1
6,2,1
7,0.002,0.3
7,0.006,0.39
7,0.01,0.46
7,0.02,0.63
7,0.063,0.95
7,0.125,0.99
7,0.25,0.99
7,0.5,1
7,1,1
7,2,1
8,0.002,0.35
8,0.006,0.44
8,0.01,0.49
8,0.02,0.64
8,0.063,0.95
8,0.125,0.99
8,0.25,0.99
8,0.5,0.99
8,1,1
8,2,1
9,0.002,0.41
9,0.006,0.48
9,0.01,0.53
9,0.02,0.66
9,0.063,0.89
9,0.125,0.93
9,0.25,0.94
9,0.5,0.95
9,1,0.97
9,2,1
10,0.002,0.45
10,0.006,0.53
10,0.01,0.59
10,0.02,0.71
10,0.063,0.91
10,0.125,0.97
10,0.25,0.98
10,0.5,0.99
10,1,1
10,2,1
11,0.002,0.26
11,0.006,0.36
11,0.01,0.45
11,0.02,0.6
11,0.063,0.94
11,0.125,0.99
11,0.25,0.99
11,0.5,0.99
11,1,1
11,2,1
12,0.002,0.3
12,0.006,0.38
12,0.01,0.46
12,0.02,0.61
12,0.063,0.95
12,0.125,0.99
12,0.25,0.99
12,0.5,1
12,1,1
12,2,1
13,0.002,0.34
13,0.006,0.42
13,0.01,0.5
13,0.02,0.64
13,0.063,0.95
13,0.125,0.99
13,0.25,1
13,0.5,1
13,1,1
13,2,1
14,0.002,0.33
14,0.006,0.41
14,0.01,0.48
14,0.02,0.62
14,0.063,0.89
14,0.125,0.96
14,0.25,0.97
14,0.5,0.98
14,1,0.99
14,2,1
16,0.002,0.3
16,0.002,0.36
16,0.006,0.39
16,0.006,0.44
16,0.01,0.46
16,0.01,0.51
16,0.02,0.61
16,0.02,0.66
16,0.063,0.92
16,0.063,0.91
16,0.125,0.98
16,0.125,0.96
16,0.25,0.98
16,0.25,0.97
16,0.5,0.99
16,0.5,0.98
16,1,0.99
16,1,0.99
16,2,1
16,2,1
17,0.002,0.37
17,0.006,0.45
17,0.01,0.52
17,0.02,0.67
17,0.063,0.95
17,0.125,0.99
17,0.25,1
17,0.5,1
17,1,1
17,2,1
18,0.002,0.28
18,0.006,0.39
18,0.01,0.46
18,0.02,0.62
18,0.063,0.94
18,0.125,0.98
18,0.25,0.99
18,0.5,0.99
18,1,1
18,2,1
19,0.002,0.3
19,0.006,0.4
19,0.01,0.46
19,0.02,0.63
19,0.063,0.95
19,0.125,0.99
19,0.25,0.99
19,0.5,1
19,1,1
19,2,1
20,0.002,0.36
20,0.006,0.44
20,0.01,0.51
20,0.02,0.65
20,0.063,0.96
20,0.125,0.99
20,0.25,1
20,0.5,1
20,1,1
20,2,1
21,0.002,0.35
21,0.002,0.36
21,0.006,0.43
21,0.006,0.45
21,0.01,0.48
21,0.01,0.52
21,0.02,0.63
21,0.02,0.65
21,0.063,0.92
21,0.063,0.92
21,0.125,0.96
21,0.125,0.96
21,0.25,0.97
21,0.25,0.97
21,0.5,0.98
21,0.5,0.98
21,1,0.99
21,1,0.99
21,2,1
21,2,1
22,0.002,0.38
22,0.006,0.47
22,0.01,0.52
22,0.02,0.68
22,0.063,0.95
22,0.125,0.99
22,0.25,1
22,0.5,1
22,1,1
22,2,1
24,0.002,0.37
24,0.006,0.45
24,0.01,0.53
24,0.02,0.66
24,0.063,0.95
24,0.125,0.99
24,0.25,0.99
24,0.5,0.99
24,1,0.99
24,2,1
25,0.002,0.27
25,0.006,0.36
25,0.01,0.42
25,0.02,0.59
25,0.063,0.9
25,0.125,0.94
25,0.25,0.96
25,0.5,0.97
25,1,0.98
25,2,1
26,0.002,0.31
26,0.006,0.4
26,0.01,0.47
26,0.02,0.63
26,0.063,0.92
26,0.125,0.97
26,0.25,0.98
26,0.5,0.99
26,1,0.99
26,2,1
27,0.002,0.32
27,0.006,0.4
27,0.01,0.48
27,0.02,0.61
27,0.063,0.91
27,0.125,0.98
27,0.25,0.99
27,0.5,0.99
27,1,1
27,2,1
28,0.002,0.44
28,0.006,0.53
28,0.01,0.57
28,0.02,0.68
28,0.063,0.92
28,0.125,0.97
28,0.25,0.99
28,0.5,0.99
28,1,1
28,2,1
29,0.002,0.52
29,0.006,0.62
29,0.01,0.68
29,0.02,0.77
29,0.063,0.91
29,0.125,0.96
29,0.25,0.98
29,0.5,0.99
29,1,1
29,2,1
30,0.002,0.28
30,0.006,0.37
30,0.01,0.43
30,0.02,0.59
30,0.063,0.93
30,0.125,0.97
30,0.25,0.98
30,0.5,0.99
30,1,1
30,2,1
31,0.002,0.31
31,0.006,0.39
31,0.01,0.46
31,0.02,0.61
31,0.063,0.92
31,0.125,0.96
31,0.25,0.97
31,0.5,0.98
31,1,0.99
31,2,1
32,0.002,0.32
32,0.006,0.41
32,0.01,0.46
32,0.02,0.63
32,0.063,0.91
32,0.125,0.98
32,0.25,0.99
32,0.5,1
32,1,1
32,2,1
33,0.002,0.43
33,0.006,0.51
33,0.01,0.58
33,0.02,0.69
33,0.063,0.91
33,0.125,0.97
33,0.25,0.98
33,0.5,0.99
33,1,0.99
33,2,1
34,0.002,0.53
34,0.006,0.64
34,0.01,0.7
34,0.02,0.78
34,0.063,0.91
34,0.125,0.96
34,0.25,0.98
34,0.5,0.99
34,1,1
34,2,1
35,0.002,0.26
35,0.006,0.37
35,0.01,0.44
35,0.02,0.61
35,0.063,0.94
35,0.125,0.99
35,0.25,0.99
35,0.5,1
35,1,1
35,2,1
36,0.002,0.26
36,0.006,0.36
36,0.01,0.43
36,0.02,0.62
36,0.063,0.94
36,0.125,0.99
36,0.25,0.99
36,0.5,1
36,1,1
36,2,1
37,0.002,0.27
37,0.006,0.36
37,0.01,0.44
37,0.02,0.6
37,0.063,0.93
37,0.125,0.98
37,0.25,0.99
37,0.5,0.99
37,1,1
37,2,1
38,0.002,0.29
38,0.006,0.37
