Id,H[mm],Theta
1,0,0.498246685
1,10,0.481105141
1,40,0.47641755
1,70,0.475364159
1,100,0.47525882
1,500,0.463759298
1,1000,0.451803307
1,150000,0.200359363
2,0,0.478986892
2,10,0.453478051
2,40,0.447398261
2,70,0.446423368
2,100,0.444083624
2,500,0.412904761
2,1000,0.399539859
2,150000,0.190244297
3,0,0.474649626
3,10,0.448686823
3,40,0.443367197
3,70,0.442050458
3,100,0.44017191
3,500,0.419174311
3,1000,0.407481667
3,150000,0.20894058
4,0,0.47260314
4,10,0.457035923
4,40,0.452308287
4,70,0.450854976
4,100,0.447230454
4,500,0.434378286
4,1000,0.427637026
4,150000,0.238363854
5,0,0.490090118
5,10,0.4851915
5,40,0.476904822
5,70,0.474798039
5,500,0.469127283
5,1000,0.46666937
5,150000,0.308697156
6,0,0.510892661
6,10,0.50679825
6,40,0.503870077
6,70,0.50210958
6,100,0.501049689
6,500,0.484953716
6,1000,0.465929571
6,150000,0.164902552
7,0,0.471073792
7,10,0.440614237
7,40,0.436511488
7,70,0.433565925
7,100,0.430024237
7,500,0.403829766
7,1000,0.391784518
7,150000,0.169049385
8,0,0.477348652
8,10,0.444683731
8,40,0.441326327
8,70,0.438720841
8,100,0.435101139
8,500,0.413400415
8,1000,0.402209066
8,150000,0.211389096
9,0,0.487846797
9,10,0.479807896
9,40,0.474482418
9,70,0.472024505
9,100,0.470737027
9,500,0.452636253
9,1000,0.445525862
9,150000,0.260913343
10,0,0.477879902
10,10,0.474914435
10,40,0.471592003
10,70,0.471417138
10,100,0.469143896
10,500,0.469161382
10,1000,0.467220383
10,150000,0.299176531
11,0,0.527386834
11,10,0.518731845
11,40,0.511580456
11,70,0.508964095
11,100,0.505998885
11,500,0.484004003
11,1000,0.463927786
11,150000,0.189077856
12,0,0.467578045
12,10,0.437535381
12,40,0.434136104
12,70,0.43270483
12,100,0.43002119
12,500,0.40755018
12,1000,0.398211114
12,150000,0.253300252
13,0,0.469210886
13,10,0.466149611
13,40,0.434192052
13,70,0.425367821
13,100,0.419727234
13,500,0.393133424
13,1000,0.386454693
13,150000,0.292299437
14,0,0.463890776
14,10,0.444749995
14,40,0.439269438
14,70,0.434979545
14,100,0.429516498
14,500,0.411691556
14,1000,0.404722669
14,150000,0.301663829
15,0,0.435701889
15,10,0.434806575
15,40,0.427070351
15,70,0.425935239
15,100,0.423892038
15,500,0.417378242
15,1000,0.41404276
15,150000,0.323378074
16,0,0.447265299
16,10,0.438985637
16,40,0.431858356
16,70,0.430557627
16,100,0.429541989
16,500,0.422004889
16,1000,0.416623791
16,150000,0.314281064
17,0,0.427632006
17,10,0.416259429
17,40,0.41118196
17,70,0.410486416
17,100,0.409547432
