Id,H[mm],Theta
11133025000031011,0,0.498
11133025000031011,500,0.415
11133025000031011,1000,0.394
11133025000031011,2000,0.371
11133025000031011,4000,0.351
11133025000031011,10000,0.322
11133025000031011,150000,0.187
11133025000031012,0,0.451
11133025000031012,500,0.402
11133025000031012,1000,0.385
11133025000031012,2000,0.367
11133025000031012,4000,0.352
11133025000031012,10000,0.327
11133025000031012,150000,0.196
11133025000031013,0,0.424
11133025000031013,500,0.412
11133025000031013,1000,0.4
11133025000031013,2000,0.387
11133025000031013,4000,0.373
11133025000031013,10000,0.35
11133025000031013,150000,0.204
11133025000031014,0,0.409
11133025000031014,500,0.384
11133025000031014,1000,0.351
11133025000031014,2000,0.337
11133025000031014,4000,0.326
11133025000031014,10000,0.313
11133025000031014,150000,0.232
11133025000041011,0,0.498
11133025000041011,500,0.415
11133025000041011,1000,0.394
11133025000041011,2000,0.371
11133025000041011,4000,0.351
11133025000041011,10000,0.322
11133025000041011,150000,0.187
11133025000041012,0,0.451
11133025000041012,500,0.402
11133025000041012,1000,0.385
11133025000041012,2000,0.367
11133025000041012,4000,0.352
11133025000041012,10000,0.327
11133025000041012,150000,0.196
11133025000041013,0,0.425
11133025000041013,500,0.418
11133025000041013,1000,0.406
11133025000041013,2000,0.394
11133025000041013,4000,0.381
11133025000041013,10000,0.359
11133025000041013,150000,0.205
11183128190051011,0,0.569
11183128190051011,500,0.468
11183128190051011,1000,0.453
11183128190051011,2000,0.439
11183128190051011,4000,0.424
11183128190051011,10000,0.404
11183128190051011,150000,0.27
11183128190051012,0,0.547
11183128190051012,500,0.446
11183128190051012,1000,0.427
11183128190051012,2000,0.414
11183128190051012,4000,0.398
11183128190051012,10000,0.377
11183128190051012,150000,0.26
11183128190051013,0,0.447
11183128190051013,500,0.365
11183128190051013,1000,0.263
11183128190051013,2000,0.219
11183128190051013,4000,0.188
11183128190051013,10000,0.16
11183128190051013,150000,0.056
11183128190071011,0,0.821
11183128190071011,1000,0.636
