Id,SoilIdx,Soilname,DrainageClass,ImpermeableDepth_mm,SlowDepth_mm,MaxRootingDepth_mm,PermeabilityClass,ParamLevel,SoilRockClass,RockDepth_mm,top_mm,depth_mm,FHThickness_mm,Stone_Prop,StoneIs_zbFe,SmapFH,RockClass,BulkDensity_t_m3,Sand_Prop,Clay_Prop,FHSpecial,IsTopsoil,WRC_0kPa,KSat_mm_s
11133025000031011,1113302500003101,Acto_3a.1,2,1000.0,350.0,725.0,5,2,Hs,1000.0,0,250.0,250.0,0.0,0,tLw,Hs,0.94,0.2,0.275,0,1,52.400000000000006,0.0167
11133025000031012,1113302500003101,Acto_3a.1,2,1000.0,350.0,725.0,5,2,Hs,1000.0,250.0,375.0,125.0,0.0,0,tLFs,Hs,0.94,0.2,0.275,0,1,47.44,0.0111
11133025000031013,1113302500003101,Acto_3a.1,2,1000.0,350.0,725.0,5,2,Hs,1000.0,375.0,675.0,300.0,0.08,0,SLCf,Hs,1.22,0.2,0.275,0,0,41.833333333333336,0.0003
11133025000031014,1113302500003101,Acto_3a.1,2,1000.0,350.0,725.0,5,2,Hs,1000.0,675.0,1000.0,325.0,0.55,0,VLd,Hs,1.22,0.5,0.3,0,0,24.830769230769228,0.0
11133025000041011,1113302500004101,Acto_4a.1,2,1000.0,350.0,1000.0,5,2,Hs,1000.0,0,250.0,250.0,0.0,0,tLw,Hs,0.94,0.2,0.275,0,1,52.400000000000006,0.0167
11133025000041012,1113302500004101,Acto_4a.1,2,1000.0,350.0,1000.0,5,2,Hs,1000.0,250.0,375.0,125.0,0.0,0,tLFs,Hs,0.94,0.2,0.275,0,1,47.44,0.0111
11133025000041013,1113302500004101,Acto_4a.1,2,1000.0,350.0,1000.0,5,2,Hs,1000.0,375.0,1000.0,625.0,0.025,0,LCf,Hs,1.22,0.2,0.275,0,0,43.84,0.0003
11183128190051011,1118312819005101,Ahuri_5a.1,2,1000.0,675.0,1000.0,5,2,Sc,1000.0,0,200.0,200.0,0.0,0,tYw,Sc,0.87,0.155,0.475,0,1,59.900000000000006,0.0111
11183128190051012,1118312819005101,Ahuri_5a.1,2,1000.0,675.0,1000.0,5,2,Sc,1000.0,200.0,325.0,125.0,0.0,0,YFws,Sc,1.01,0.155,0.475,0,0,57.599999999999994,0.0042
11183128190051013,1118312819005101,Ahuri_5a.1,2,1000.0,675.0,1000.0,5,2,Sc,1000.0,325.0,1000.0,675.0,0.0,0,Aw,Sc,1.38,0.75,0.055,0,0,47.05185185185186,0.0222
11183128190071011,1118312819007101,Ahuri_7a.1,1,1000.0,350.0,1000.0,5,3,Ss,1000.0,0,175.0,175.0,0.0,0,tOr,Ss,1.0,0.155,0.475,3,1,86.39999999999999,0.0417
11183128190071012,1118312819007101,Ahuri_7a.1,1,1000.0,350.0,1000.0,5,3,Ss,1000.0,175.0,350.0,175.0,0.0,0,YFs,Ss,1.01,0.155,0.475,0,0,55.65714285714286,0.0042
11183128190071013,1118312819007101,Ahuri_7a.1,1,1000.0,350.0,1000.0,5,3,Ss,1000.0,350.0,1000.0,650.0,0.03,0,YFf,Ss,1.39,0.155,0.475,0,0,51.95384615384615,0.0014
11192229000051011,1119222900005101,Ails_5a.1,1,1000.0,1000.0,1000.0,8,3,Sc,1000.0,0,200.0,200.0,0.0,0,tOh,Sc,0.27,0.25,0.13,3,1,86.4,0.0222
11192229000051012,1119222900005101,Ails_5a.1,1,1000.0,1000.0,1000.0,8,3,Sc,1000.0,200.0,500.0,300.0,0.0,0,Oh,Sc,0.27,0.15,0.075,3,0,86.39999999999999,0.0139
11192229000051013,1119222900005101,Ails_5a.1,1,1000.0,1000.0,1000.0,8,3,Sc,1000.0,500.0,1000.0,500.0,0.0,0,Lw,Sc,1.42,0.4,0.14,0,0,41.86,0.0111
11192229000081011,1119222900008101,Ails_8a.1,1,1000.0,1000.0,1000.0,2,3,Hs,1000.0,0,200.0,200.0,0.0,0,tOh,Hs,0.27,0.025,0.025,3,1,86.4,0.0222
11192229000081012,1119222900008101,Ails_8a.1,1,1000.0,1000.0,1000.0,2,3,Hs,1000.0,200.0,950.0,750.0,0.0,0,Oh,Hs,0.27,0.025,0.025,3,0,86.4,0.0139
11192229000081013,1119222900008101,Ails_8a.1,1,1000.0,1000.0,1000.0,2,3,Hs,1000.0,950.0,1000.0,50.0,0.0,0,LCs,Hs,1.53,0.15,0.25,0,0,47.2,0.0022
11192429000091011,1119242900009101,Ains_9a.1,3,1000.0,725.0,675.0,5,2,Sc,1000.0,0,175.0,175.0,0.0,0,tLw,Sc,1.41,0.45,0.115,0,1,45.88571428571428,0.0167
11192429000091012,1119242900009101,Ains_9a.1,3,1000.0,725.0,675.0,5,2,Sc,1000.0,175.0,675.0,500.0,0.0,0,Lw,Sc,1.42,0.45,0.115,0,0,41.879999999999995,0.0111
11192429000091013,1119242900009101,Ains_9a.1,3,1000.0,725.0,675.0,5,2,Sc,1000.0,675.0,1000.0,325.0,0.475,0,VLc,Sc,1.53,0.55,0.165,0,0,26.799999999999997,0.0006
11192815000011011,1119281500001101,Aire_1a.1,5,400.0,345.83333333333337,375.0,5,2,Sm,409.16666666666663,0,146.66666666666666,146.66666666666666,0.0,0,tLw,Sm,1.22,0.15,0.215,0,1,50.25,0.0167
11192815000011012,1119281500001101,Aire_1a.1,5,400.0,345.83333333333337,375.0,5,2,Sm,409.16666666666663,146.66666666666666,346.66666666666663,200.0,0.03333333333333333,0,Lw,Sm,1.42,0.2,0.215,0,0,42.2,0.0111
11192815000011013,1119281500001101,Aire_1a.1,5,400.0,345.83333333333337,375.0,5,2,Sm,409.16666666666663,346.66666666666663,409.16666666666663,62.5,0.03333333333333333,0,LFs,Sm,1.53,0.2,0.185,0,0,39.519999999999996,0.0056
11222311000011011,1122231100001101,Alma_1a.1,3,1000.0,450.0,1000.0,5,3,Ba,1000.0,0,230.0,230.0,0.0,0,tYFs,Ba,1.08,0.05,0.575,0,1,53.39130434782609,0.0111
11222311000011012,1122231100001101,Alma_1a.1,3,1000.0,450.0,1000.0,5,3,Ba,1000.0,230.0,480.0,250.0,0.0,0,YFf,Ba,1.54,0.05,0.575,0,0,51.2,0.0014
11222311000011013,1122231100001101,Alma_1a.1,3,1000.0,450.0,1000.0,5,3,Ba,1000.0,480.0,1005.0,525.0,0.0,0,YC,Ba,1.26,0.05,0.65,0,0,54.34285714285714,0.0008
11241428000121011,1124142800012101,Andr_12a.1,1,1000.0,750.0,1000.0,5,3,Hs,1000.0,0,200.0,200.0,0.0,0,tOh,Hs,0.27,0.025,0.025,3,1,86.4,0.0222
11241428000121012,1124142800012101,Andr_12a.1,1,1000.0,750.0,1000.0,5,3,Hs,1000.0,200.0,750.0,550.0,0.0,0,Oh,Hs,0.27,0.025,0.025,3,0,86.4,0.0139
11241428000121013,1124142800012101,Andr_12a.1,1,1000.0,750.0,1000.0,5,3,Hs,1000.0,750.0,1000.0,250.0,0.0,0,LCf,Hs,1.61,0.075,0.25,0,0,47.28,0.0003
11242411000051031,1124241100005103,Anna_5a.3,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,0,250.0,250.0,0.005,0,tLw,Sc,1.41,0.7,0.09,0,1,48.239999999999995,0.0167
11242411000051032,1124241100005103,Anna_5a.3,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,250.0,1050.0,800.0,0.225,0,SLw,Sc,1.42,0.7,0.09,0,0,37.7875,0.0111
11242411000061011,1124241100006101,Anna_6a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,0,175.0,175.0,0.0,0,tLw,Sc,1.41,0.55,0.13,0,1,44.457142857142856,0.0167
11242411000061012,1124241100006101,Anna_6a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,175.0,700.0,525.0,0.0,0,Lw,Sc,1.42,0.55,0.13,0,0,42.076190476190476,0.0111
11242411000061013,1124241100006101,Anna_6a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,700.0,1000.0,300.0,0.525,0,VLc,Sc,1.53,0.75,0.105,0,0,26.0,0.0022
11242411000071011,1124241100007101,Anna_7a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,0,175.0,175.0,0.0,0,tLw,Sc,1.41,0.35,0.13,0,1,47.142857142857146,0.0167
11242411000071012,1124241100007101,Anna_7a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,175.0,700.0,525.0,0.0,0,Lw,Sc,1.42,0.35,0.13,0,0,42.76190476190476,0.0111
11242411000071013,1124241100007101,Anna_7a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,700.0,1000.0,300.0,0.525,0,VLc,Sc,1.53,0.7,0.105,0,0,26.566666666666666,0.0022
11242411000091011,1124241100009101,Anna_9a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,0,175.0,175.0,0.0,0,tLw,Sc,1.41,0.55,0.115,0,1,44.51428571428572,0.0167
11242411000091012,1124241100009101,Anna_9a.1,5,1000.0,1000.0,1000.0,2,3,Sc,1000.0,175.0,1000.0,825.0,0.0,0,Lw,Sc,1.42,0.7,0.105,0,0,45.33333333333333,0.0111
11261124000061011,1126112400006101,Apan_6a.1,2,1000.0,425.0,1000.0,5,2,Sc,1000.0,0,325.0,325.0,0.0,0,tYFs,Sc,0.87,0.155,0.475,0,1,58.0,0.0111
11261124000061012,1126112400006101,Apan_6a.1,2,1000.0,425.0,1000.0,5,2,Sc,1000.0,325.0,1000.0,675.0,0.0,0,Af,Sc,1.38,0.65,0.055,0,0,45.67407407407408,0.0111
11261124000072011,1126112400007201,Apan_7b.1,2,1000.0,250.0,1000.0,1,2,Hs,1000.0,0,250.0,250.0,0.0,0,tYFs,Hs,0.87,0.3,0.4,0,1,52.76,0.0111
11261124000072012,1126112400007201,Apan_7b.1,2,1000.0,250.0,1000.0,1,2,Hs,1000.0,250.0,650.0,400.0,0.0,0,YC,Hs,1.01,0.3,0.4,0,0,48.4,0.0008
11261124000072013,1126112400007201,Apan_7b.1,2,1000.0,250.0,1000.0,1,2,Hs,1000.0,650.0,1000.0,350.0,0.0,0,Al,Hs,1.38,0.8,0.06,0,0,45.285714285714285,0.0417
11261128000021011,1126112800002101,Apar_2a.1,3,1000.0,575.0,575.0,5,2,Ts,1000.0,0,300.0,300.0,0.0,0,tLw,Ts,1.09,0.06,0.25,0,1,60.36666666666666,0.0167
11261128000021012,1126112800002101,Apar_2a.1,3,1000.0,575.0,575.0,5,2,Ts,1000.0,300.0,575.0,275.0,0.025,0,Lw,Ts,1.42,0.06,0.3,0,0,51.2,0.0111
11261128000021013,1126112800002101,Apar_2a.1,3,1000.0,575.0,575.0,5,2,Ts,1000.0,575.0,1000.0,425.0,0.025,0,YC,Ts,1.26,0.06,0.375,0,0,49.69411764705882,0.0008
11261128000061011,1126112800006101,Apar_6a.1,3,1000.0,575.0,600.0,5,2,Ts,1000.0,0,250.0,250.0,0.0,0,tLw,Ts,1.09,0.15,0.3,0,1,58.56,0.0167
11261128000061012,1126112800006101,Apar_6a.1,3,1000.0,575.0,600.0,5,2,Ts,1000.0,250.0,400.0,150.0,0.0,0,tLw,Ts,1.09,0.15,0.3,0,1,55.4,0.0167
11261128000061013,1126112800006101,Apar_6a.1,3,1000.0,575.0,600.0,5,2,Ts,1000.0,400.0,625.0,225.0,0.0,0,LCs,Ts,1.53,0.15,0.3,0,0,50.13333333333334,0.0022
11261128000061014,1126112800006101,Apar_6a.1,3,1000.0,575.0,600.0,5,2,Ts,1000.0,625.0,1000.0,375.0,0.0,0,LCf,Ts,1.61,0.15,0.3,0,0,47.57333333333334,0.0003
11261128000071011,1126112800007101,Apar_7a.1,3,1000.0,550.0,1000.0,5,2,Ts,1000.0,0,200.0,200.0,0.0,0,tLw,Ts,1.09,0.115,0.275,0,1,59.900000000000006,0.0167
11261128000071012,1126112800007101,Apar_7a.1,3,1000.0,550.0,1000.0,5,2,Ts,1000.0,200.0,300.0,100.0,0.0,0,tLw,Ts,1.09,0.115,0.275,0,1,57.2,0.0167
11261128000071013,1126112800007101,Apar_7a.1,3,1000.0,550.0,1000.0,5,2,Ts,1000.0,300.0,600.0,300.0,0.0,0,LFs,Ts,1.53,0.115,0.275,0,0,51.03333333333333,0.0056
11261128000071014,1126112800007101,Apar_7a.1,3,1000.0,550.0,1000.0,5,2,Ts,1000.0,600.0,1000.0,400.0,0.0,0,LCs,Ts,1.53,0.115,0.275,0,0,49.375,0.0022
11261128000081011,1126112800008101,Apar_8a.1,3,1000.0,550.0,550.0,5,2,Ts,1000.0,0,300.0,300.0,0.0,0,tLw,Ts,1.09,0.06,0.25,0,1,60.36666666666666,0.0167
11261128000081012,1126112800008101,Apar_8a.1,3,1000.0,550.0,550.0,5,2,Ts,1000.0,300.0,550.0,250.0,0.03,0,Lw,Ts,1.42,0.06,0.3,0,0,51.120000000000005,0.0111
11261128000081013,1126112800008101,Apar_8a.1,3,1000.0,550.0,550.0,5,2,Ts,1000.0,550.0,800.0,250.0,0.03,0,YC,Ts,1.26,0.06,0.375,0,0,49.6,0.0008
11261128000081014,1126112800008101,Apar_8a.1,3,1000.0,550.0,550.0,5,2,Ts,1000.0,800.0,1000.0,200.0,0.475,0,VYc,Ts,1.26,0.075,0.375,0,0,31.200000000000003,0.0042
11281124000131011,1128112400013101,Aran_13a.1,2,1000.0,1000.0,1000.0,3,2,Hs,1000.0,0,175.0,175.0,0.0,0,tLw,Hs,0.94,0.725,0.115,0,1,51.828571428571436,0.0167
11281124000131012,1128112400013101,Aran_13a.1,2,1000.0,1000.0,1000.0,3,2,Hs,1000.0,175.0,475.0,300.0,0.0,0,Aw,Hs,1.38,0.8,0.05,0,0,43.766666666666666,0.0222
11281124000131013,1128112400013101,Aran_13a.1,2,1000.0,1000.0,1000.0,3,2,Hs,1000.0,475.0,975.0,500.0,0.0,0,Al,Hs,1.38,0.9,0.015,0,0,39.24,0.0417
