Id,Diameter[mm],Cumul_Psd
11281124000201012,2,1
11281124000041011,0.002,0.035
11281124000041011,0.06,0.07499999999999996
11281124000041011,2,1
11281124000041012,0.002,0.035
11281124000041012,0.06,0.07499999999999996
11281124000041012,2,1
11281311000011011,0.002,0.215
11281311000011011,0.06,0.825
11281311000011011,2,1
11281311000011012,0.002,0.24
11281311000011012,0.06,0.8
11281311000011012,2,1
11281311000011013,0.002,0.175
11281311000011013,0.06,0.35
11281311000011013,2,1
11281311000011014,0.002,0.04
11281311000011014,0.06,0.19999999999999996
11281311000011014,2,1
11281417250101011,0.002,0.175
11281417250101011,0.06,0.75
11281417250101011,2,1
11281417250101012,0.002,0.125
11281417250101012,0.06,0.55
11281417250101012,2,1
11281417250101013,0.002,0.275
11281417250101013,0.06,0.44999999999999996
11281417250101013,2,1
11281417250101014,0.002,0.175
11281417250101014,0.06,0.44999999999999996
11281417250101014,2,1
11281417250031011,0.002,0.175
11281417250031011,0.06,0.5
11281417250031011,2,1
11281417250031012,0.002,0.175
11281417250031012,0.06,0.5
11281417250031012,2,1
11281417250031013,0.002,0.3
11281417250031013,0.06,0.5
11281417250031013,2,1
11281417250031014,0.002,0.275
11281417250031014,0.06,0.5
11281417250031014,2,1
11281417250031031,0.002,0.175
11281417250031031,0.06,0.675
11281417250031031,2,1
11281417250031032,0.002,0.175
11281417250031032,0.06,0.65
11281417250031032,2,1
11281417250031033,0.002,0.3
11281417250031033,0.06,0.44999999999999996
11281417250031033,2,1
11281417250031034,0.002,0.275
11281417250031034,0.06,0.44999999999999996
11281417250031034,2,1
11281417250071011,0.002,0.175
11281417250071011,0.06,0.44999999999999996
11281417250071011,2,1
11281417250071012,0.002,0.125
11281417250071012,0.06,0.44999999999999996
11281417250071012,2,1
11281417250071013,0.002,0.275
11281417250071013,0.06,0.44999999999999996
11281417250071013,2,1
11281417250071014,0.002,0.175
11281417250071014,0.06,0.44999999999999996
11281417250071014,2,1
11281417250091011,0.002,0.175
11281417250091011,0.06,0.35
11281417250091011,2,1
11281417250091012,0.002,0.175
