id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
0,2015,6,1,21,0,0,0,0,0
1,2015,6,1,22,0,0,0,0.196693989,14.55068359
2,2015,6,1,23,0,0,0,0.238820794,15.33602295
3,2015,6,2,0,0,0,0,0.249904406,16.00292358
4,2015,6,2,1,0,0,0,0.23041165,16.50600586
5,2015,6,2,2,0,0,0,0.1797078,16.81090698
6,2015,6,2,3,0,0,0,0.101396668,16.89690552
7,2015,6,2,4,0,0,0.482251082,0.001732617,16.75811157
8,2015,6,2,5,0,0,1.3995599,0,16.40401611
9,2015,6,2,6,0,0,1.271371264,0,15.85869751
10,2015,6,2,7,0,0,0.341901119,0,15.15935669
11,2015,6,2,8,0,0,0.683802238,0,14.35366211
12,2015,6,2,9,0,0,1.719331834,0,13.49648438
13,2015,6,2,10,0,0,1.421440043,0,12.64626465
14,2015,6,2,11,0,0,1.316718175,0,11.86095581
15,2015,6,2,12,0,0,0,0,11.19402466
16,2015,6,2,13,0,0,1.288006431,0,10.6909729
17,2015,6,2,14,0,0,0,0,10.38604126
18,2015,6,2,15,0,0,0.398372387,0,10.30040894
19,2015,6,2,16,0,0,0,0,10.47072754
20,2015,6,2,17,0,0,0,0,10.90532837
21,2015,6,2,18,0,0,0,0,11.57457886
22,2015,6,2,19,0,0,0,0,12.43285522
23,2015,6,2,20,0,0,0,0.054753258,13.42165527
24,2015,6,2,21,0,0,0,0.167400081,14.47365723
25,2015,6,2,22,0,0,4.765419755,0.256878615,15.65938721
26,2015,6,2,23,0,0,0.877039449,0.312798162,16.57561646
27,2015,6,3,0,0,0,1.773991273,0.328036665,17.35369263
28,2015,6,3,1,0,0,0.537488086,0.30282815,17.94057617
29,2015,6,3,2,0,0,3.182409564,0.23629998,18.29631958
30,2015,6,3,3,0,0,2.907510381,0.130391301,18.39663086
31,2015,6,3,4,0,0,0,0.001787503,18.23473511
32,2015,6,3,5,0,0,0,0,17.82158813
33,2015,6,3,6,0,0,0,0,17.1854187
