Id,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ
1.0,0.53075,0.05415,0.02222,867.50246,2.31094,0.95735,0.7675,10.0,0.0,0.50811,0.55,0.3,0.0,0.02222,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.055,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,NaN,0.0,NaN
2.0,0.5018,0.065,0.02222,845.70171,2.16241,1.0,0.7675,10.0,0.0,0.5018,0.52,0.3,0.0,0.02222,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.065,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99991,0.99991,1.0,NaN,0.00081,NaN
3.0,0.73726,0.2,0.05113,1495.50011,3.38232,1.0,0.7675,10.0,0.0,0.73726,0.764,0.3,0.0,0.05113,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.89711,0.89711,1.0,NaN,0.03359,NaN
4.0,0.71314,0.2,0.03319,2425.2748,4.0,1.0,0.7675,10.0,0.0,0.71313,0.739,0.3,0.0,0.03319,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.91687,0.91687,1.0,NaN,0.02503,NaN
5.0,0.45355,0.0,0.00083,640427.16606,3.9976,0.94388,0.7675,10.0,0.0,0.4281,0.47,0.3,0.0,0.00083,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99504,0.99504,1.0,NaN,0.00328,NaN
6.0,0.4632,0.0,0.00031,585990.54607,3.74623,0.95426,0.7675,10.0,0.0,0.44201,0.48,0.3,0.0,0.00031,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99353,0.99353,1.0,NaN,0.00396,NaN
7.0,0.47382,0.2,0.00574,486023.54343,4.0,0.94523,0.7675,10.0,0.0,0.44786,0.491,0.3,0.0,0.00574,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.96745,0.96745,1.0,NaN,0.00501,NaN
8.0,0.621,0.2,0.00574,1.53263552822e6,3.8611,1.0,0.7675,10.0,0.0,0.621,0.631,0.3,0.0,0.00574,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99607,0.99607,1.0,NaN,0.00226,NaN
9.0,0.44776,0.16912,0.0,9143.54484,2.75205,0.86684,0.7675,10.0,0.0,0.38814,0.464,0.3,0.0,0.0,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.198,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,NaN,0.0,NaN
10.0,0.39372,0.07675,0.0,832271.42139,3.22901,0.94097,0.7675,10.0,0.0,0.37048,0.408,0.3,0.0,0.0,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,NaN,0.0,NaN
11.0,0.45355,0.04285,0.00046,273165.87972,4.0,0.89764,0.7675,10.0,0.0,0.40712,0.47,0.3,0.0,0.00046,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9932,0.9932,1.0,NaN,0.00389,NaN
12.0,0.36188,0.2,0.00139,22749.10213,2.415,0.99666,0.7675,10.0,0.0,0.36067,0.375,0.3,0.0,0.00139,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.99704,0.99704,1.0,NaN,0.0022,NaN
13.0,0.334,0.0,0.00028,570193.82215,3.44032,1.0,0.7675,10.0,0.0,0.334,0.331,0.3,0.0,0.00028,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.98957,0.98957,1.0,NaN,0.00384,NaN
