Id,θs,θr,N,Ψvg,Ks,Km,Φ,θs_Min,θr_Min,N_Min,Ψvg_Min,Ks_Min,Km_Min,Φ_Min,θs_Max,θr_Max,N_Max,Ψvg_Max,Ks_Max,Km_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ
1.0,0.53075,0.03369,2.43867,184.81343,0.02222,2.0,0.55,0.3,0.0,2.001,10.0,0.02222,1.0,0.0,0.6,0.055,10.0,500000.0,0.08,2.0,0.0,1.0,1.0,1.0,NaN,0.0,NaN
2.0,0.5018,0.05354,2.5154,246.37891,0.02222,2.0,0.52,0.3,0.0,2.001,10.0,0.02222,1.0,0.0,0.6,0.065,10.0,500000.0,0.08,2.0,0.0,1.0,1.0,1.0,NaN,0.0,NaN
3.0,0.73726,0.2,2.27526,99.27395,0.05113,2.0,0.764,0.3,0.0,2.001,10.0,0.05113,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.97541,0.97541,1.0,NaN,0.01642,NaN
4.0,0.71314,0.2,2.20349,63.73535,0.03319,2.0,0.739,0.3,0.0,2.001,10.0,0.03319,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.98389,0.98389,1.0,NaN,0.01102,NaN
5.0,0.45355,0.0,2.06788,227.10213,0.00083,2.0,0.47,0.3,0.0,2.001,10.0,0.00083,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.93993,0.93993,1.0,NaN,0.01142,NaN
6.0,0.4632,0.0,2.07041,348.11481,0.00031,2.0,0.48,0.3,0.0,2.001,10.0,0.00031,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.93409,0.93409,1.0,NaN,0.01265,NaN
7.0,0.47382,0.0,2.03438,64.05443,0.00574,2.0,0.491,0.3,0.0,2.001,10.0,0.00574,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.98871,0.98871,1.0,NaN,0.00295,NaN
8.0,0.621,0.0,2.04233,1405.30845,0.00574,2.0,0.631,0.3,0.0,2.001,10.0,0.00574,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.97596,0.97596,1.0,NaN,0.00558,NaN
9.0,0.44776,0.19744,2.65576,451.98123,0.0,2.0,0.464,0.3,0.0,2.001,10.0,0.0,1.0,0.0,0.6,0.198,10.0,500000.0,0.08,2.0,0.0,1.0,1.0,1.0,NaN,0.0,NaN
10.0,0.39372,0.1914,2.12859,316.08206,0.0,2.0,0.408,0.3,0.0,2.001,10.0,0.0,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,1.0,1.0,1.0,NaN,0.0,NaN
11.0,0.45355,0.0,2.07371,91.47306,0.00046,2.0,0.47,0.3,0.0,2.001,10.0,0.00046,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.94589,0.94589,1.0,NaN,0.01098,NaN
12.0,0.36188,0.0,2.08051,854.10601,0.00139,2.0,0.375,0.3,0.0,2.001,10.0,0.00139,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.98564,0.98564,1.0,NaN,0.00484,NaN
13.0,0.334,0.0,2.08942,1830.30939,0.00028,2.0,0.331,0.3,0.0,2.001,10.0,0.00028,1.0,0.0,0.6,0.2,10.0,500000.0,0.08,2.0,0.0,0.96686,0.96686,1.0,NaN,0.00685,NaN
