Id,θs,θr,λbc,Ψbc,Ks,Φ,θs_Min,θr_Min,λbc_Min,Ψbc_Min,Ks_Min,Φ_Min,θs_Max,θr_Max,λbc_Max,Ψbc_Max,Ks_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ
1.0,0.53075,0.0335,0.4368,182.44354,0.02222,0.55,0.3,0.0,0.09,90.0,0.02222,0.0,0.6,0.055,0.70922,856.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
2.0,0.5018,0.05333,0.51187,241.42578,0.02222,0.52,0.3,0.0,0.09,90.0,0.02222,0.0,0.6,0.065,0.70922,856.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
3.0,0.73726,0.2,0.27452,97.43843,0.05113,0.764,0.3,0.0,0.09,90.0,0.05113,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.98906,0.97813,1.0,NaN,0.01549,NaN
4.0,0.71314,0.2,0.22745,90.0,0.03319,0.739,0.3,0.0,0.09,90.0,0.03319,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.98648,0.97296,1.0,NaN,0.01428,NaN
5.0,0.45355,0.09174,0.09,229.77465,0.00083,0.47,0.3,0.0,0.09,90.0,0.00083,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.96373,0.92747,1.0,NaN,0.01255,NaN
6.0,0.4632,0.09272,0.09,310.80853,0.00031,0.48,0.3,0.0,0.09,90.0,0.00031,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.95879,0.91759,1.0,NaN,0.01415,NaN
7.0,0.47382,0.2,0.09,166.08895,0.00574,0.491,0.3,0.0,0.09,90.0,0.00574,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.93827,0.87654,1.0,NaN,0.00975,NaN
8.0,0.621,0.2,0.09,856.0,0.00574,0.631,0.3,0.0,0.09,90.0,0.00574,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.7506,0.50119,1.0,NaN,0.02542,NaN
9.0,0.44776,0.19638,0.61685,412.68047,0.0,0.464,0.3,0.0,0.09,90.0,0.0,0.0,0.6,0.198,0.70922,856.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
10.0,0.39372,0.14465,0.09289,267.41429,0.0,0.408,0.3,0.0,0.09,90.0,0.0,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
11.0,0.45355,0.05738,0.09,103.38744,0.00046,0.47,0.3,0.0,0.09,90.0,0.00046,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.96965,0.9393,1.0,NaN,0.01162,NaN
12.0,0.36188,0.04429,0.09,724.26686,0.00139,0.375,0.3,0.0,0.09,90.0,0.00139,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.98545,0.9709,1.0,NaN,0.00689,NaN
13.0,0.334,0.06232,0.09,856.0,0.00028,0.331,0.3,0.0,0.09,90.0,0.00028,0.0,0.6,0.2,0.70922,856.0,0.08,0.0,0.96554,0.93109,1.0,NaN,0.00988,NaN
