,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,SIM_100,SIM_101,OPT_100,OPT_101
Param,veg,Zroot,1,600,1000,0,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,800,800,0,0
Param,veg,ΔRdf_Top,1,0.7,0.9,0,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0.897509579,0,0,0,0,0,0,0,0,0,0,0.897509579,0.897509579,0,0
Param,veg,Zroot_Top,1,300,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Lai,1,1,6,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
Param,veg,Lai_Min,1,0.1,3,0,2.149680409,2.149680409,2.149680409,2.149680409,2.149680409,2.149680409,2.149680409,2.149680409,2.149680409,2.149680409,0,0,0,0,0,0,0,0,0,1,2.149680409,2.149680409,0,0
Param,veg,Lai_Max,1,3,6,0,3.479773464,3.479773464,3.479773464,3.479773464,3.479773464,3.479773464,3.479773464,3.479773464,3.479773464,3.479773464,0,0,0,0,0,0,0,0,0,1,3.479773464,3.479773464,0,0
Param,veg,CropCoeficient,1,0.85,1.05,0,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0.86572077,0,0,0,0,0,0,0,0,0,0,0.86572077,0.86572077,0,0
Param,veg,CropCoeficient_Min,1,0.75,0.8,0,0.789853019,0.789853019,0.789853019,0.789853019,0.789853019,0.789853019,0.789853019,0.789853019,0.789853019,0.789853019,0,0,0,0,0,0,0,0,0,1,0.789853019,0.789853019,0,0
Param,veg,CropCoeficient_Max,1,0.8,2,0,1.683608073,1.683608073,1.683608073,1.683608073,1.683608073,1.683608073,1.683608073,1.683608073,1.683608073,1.683608073,0,0,0,0,0,0,0,0,0,1,1.683608073,1.683608073,0,0
Param,veg,ExtinctCoefRadiation,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Ψfeddes1,1,0.01,150000,0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0
Param,veg,Ψfeddes2,1,0.01,150000,0,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,250,250,0,0
Param,veg,Ψfeddes3,1,0.01,150000,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0
Param,veg,Ψfeddes4,1,0.01,150000,0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,0,0,0,0,0,0,0,0,0,0,80000,80000,0,0
Param,veg,RootWaterUptakeComp,1,0.01,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Param,veg,Zevapo,1,0.01,300,0,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0
Param,veg,Sint_Lai,1,0.01,1,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,1.6,1.6,0,0
Param,veg,Sint_Sat,1,0.5,2,0,1.375801285,1.375801285,1.375801285,1.375801285,1.375801285,1.375801285,1.375801285,1.375801285,1.375801285,1.375801285,0,0,0,0,0,0,0,0,0,1,1.375801285,1.375801285,0,0
Vector,hydro,θs,1,0.483,0.6,0,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.495080985,0.496615902,1,1,0,1,0,0,0,0,0,0,0.496615902,0.484182675,0,0
Vector,hydro,θs,2,0.4805,0.6,0,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.530420313,0.500606203,1,1,0,0,1,1,0,0,0,0,0.500606203,0.528881956,0,0
Vector,hydro,θs,3,0.438,0.6,0,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.520246942,0.459909407,1,1,0,0,1,0,1,0,0,0,0.459909407,0.473525085,0,0
Vector,hydro,θs,4,0.425,0.6,0,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.490083414,0.451812074,1,0,1,0,0,0,0,1,0,0,0.451812074,0.515192791,0,0
Vector,hydro,θs,5,0.421,0.6,0,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.488505709,0.494097171,1,0,1,0,0,0,0,0,1,0,0.494097171,0.566662072,0,0
Vector,hydro,θr,1,0,0.2,0,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.172662846,0.145955442,0,0,0,0,0,0,0,0,0,0,0.145955442,0.135988403,0,0
Vector,hydro,θr,2,0,0.2,0,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.197070474,0.122801229,0,0,0,0,0,0,0,0,0,0,0.122801229,0.105245699,0,0
Vector,hydro,θr,3,0,0.2,0,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.195828312,0.12627521,0,0,0,0,0,0,0,0,0,0,0.12627521,0.12262975,0,0
Vector,hydro,θr,4,0,0.2,0,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.198916975,0.169950166,0,0,0,0,0,0,0,0,0,0,0.169950166,0.150019459,0,0
Vector,hydro,θr,5,0,0.2,0,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.178726443,0.191765709,0,0,0,0,0,0,0,0,0,0,0.191765709,0.165256201,0,0
Vector,hydro,Ks,1,5.50E-05,0.08,1,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.073545076,0.057632394,1,1,0,1,0,0,0,0,0,0,0.057632394,0.000127366,0,0
Vector,hydro,Ks,2,5.50E-05,0.08,1,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.070461768,0.007963784,1,1,0,0,1,1,0,0,0,0,0.007963784,0.004271801,0,0
Vector,hydro,Ks,3,5.50E-05,0.08,1,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.06467906,0.04117729,1,1,0,0,1,0,1,0,0,0,0.04117729,0.042238305,0,0
Vector,hydro,Ks,4,5.50E-05,0.08,1,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.033275065,0.072044918,1,0,1,0,0,0,0,1,0,0,0.072044918,0.016724381,0,0
