Id,H[mm],Theta
11301911230071011,0,0.701
11301911230071011,500,0.583
11301911230071011,1000,0.471
11301911230071011,2000,0.401
11301911230071011,4000,0.344
11301911230071011,10000,0.299
11301911230071011,150000,0.079
11301911230071012,0,0.679
11301911230071012,500,0.545
11301911230071012,1000,0.418
11301911230071012,2000,0.335
11301911230071012,4000,0.26
11301911230071012,10000,0.21
11301911230071012,150000,0.05
11301911230071013,0,0.523
11301911230071013,500,0.436
11301911230071013,1000,0.377
11301911230071013,2000,0.327
11301911230071013,4000,0.288
11301911230071013,10000,0.255
11301911230071013,150000,0.088
11301911230071014,0,0.575
11301911230071014,500,0.469
11301911230071014,1000,0.404
11301911230071014,2000,0.349
11301911230071014,4000,0.305
11301911230071014,10000,0.264
11301911230071014,150000,0.082
11301911230071015,0,0.582
11301911230071015,500,0.488
11301911230071015,1000,0.424
11301911230071015,2000,0.369
11301911230071015,4000,0.325
11301911230071015,10000,0.279
11301911230071015,150000,0.081
240000000034221011,0,0.676
240000000034221011,500,0.566
240000000034221011,1000,0.525
240000000034221011,2000,0.487
240000000034221011,4000,0.46
240000000034221011,10000,0.423
240000000034221011,150000,0.302
240000000034221012,0,0.685
240000000034221012,500,0.53
240000000034221012,1000,0.492
240000000034221012,2000,0.461
240000000034221012,4000,0.433
240000000034221012,10000,0.397
240000000034221012,150000,0.323
240000000034221013,0,0.673
240000000034221013,500,0.548
240000000034221013,1000,0.527
240000000034221013,2000,0.51
240000000034221013,4000,0.493
240000000034221013,10000,0.473
240000000034221013,150000,0.406
240000000034221014,0,0.667
240000000034221014,500,0.568
240000000034221014,1000,0.55
240000000034221014,2000,0.535
240000000034221014,4000,0.52
240000000034221014,10000,0.501
240000000034221014,150000,0.418
240000000034221015,0,0.648
240000000034221015,500,0.585
240000000034221015,1000,0.565
240000000034221015,2000,0.548
240000000034221015,4000,0.53
240000000034221015,10000,0.499
240000000034221015,150000,0.363
25231122000101011,0,0.547
25231122000101011,500,0.458
25231122000101011,1000,0.43
25231122000101011,2000,0.405
25231122000101011,4000,0.387
25231122000101011,10000,0.361
25231122000101011,150000,0.219
25231122000101012,0,0.464
25231122000101012,500,0.375
25231122000101012,1000,0.352
25231122000101012,2000,0.32
25231122000101012,4000,0.292
