Id,SELECT_1
11301911230071011,1
11301911230071012,1
11301911230071013,1
11301911230071014,1
11301911230071015,1
240000000034221011,1
240000000034221012,1
240000000034221013,1
240000000034221014,1
240000000034221015,1
25231122000101011,1
25231122000101012,1
25231122000101013,1
25231122000101014,1
25231122000101015,1
25302528000631011,1
25302528000631012,1
25302528000631013,1
25302528000631014,1
25302528000631015,1
25302528000652011,1
25302528000652012,1
25302528000652013,1
25302528000652014,1
25302528000652015,1
25302528000661011,1
25302528000661012,1
25302528000661013,1
25302528000661014,1
25302528000661015,1
26312419000021011,1
26312419000021012,1
26312419000021013,1
26312419000021014,1
26312419000021015,1
30152331000891011,1
30152331000891012,1
30152331000891013,1
30152331000891014,1
30152331000891015,1
30153021000131011,1
30153021000131012,1
30153021000131013,1
30153021000131014,1
30153021000131015,1
30153021000161011,1
30153021000161012,1
30153021000161013,1
30153021000161014,1
30153021000161015,1
