Id,SoilIdx,Soilname,DrainageClass,ImpermeableDepth_mm,SlowDepth_mm,MaxRootingDepth_mm,PermeabilityClass,ParamLevel,SoilRockClass,RockDepth_mm,top_mm,depth_mm,FHThickness_mm,Stone_Prop,StoneIs_zbFe,SmapFH,RockClass,BulkDensity_t_m3,Sand_Prop,Clay_Prop,FHSpecial,IsTopsoil,WRC_0kPa,KSat_mm_s
25302528000652011,2530252800065201,Otor_65b.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,0,200.0,200.0,0.04,1,tzLw,NoAdj,0.91,0.33,0.23,0,1,70.8,0.0222
25302528000652012,2530252800065201,Otor_65b.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,200.0,300.0,100.0,0.04,1,zLw,NoAdj,0.84,0.45,0.15,0,0,69.9,0.0222
25302528000652013,2530252800065201,Otor_65b.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,300.0,400.0,100.0,0.0,1,zLw,NoAdj,0.84,0.38,0.28,0,0,73.1,0.0222
25302528000652014,2530252800065201,Otor_65b.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,400.0,700.0,300.0,0.0,1,zLw,NoAdj,0.84,0.28,0.27,0,0,71.1,0.0222
25302528000652015,2530252800065201,Otor_65b.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,700.0,1000.0,300.0,0.0,1,zLw,NoAdj,0.84,0.13,0.22,0,0,71.6,0.0222
25302528000661011,2530252800066101,Otor_66a.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,0,190.0,190.0,0.0,1,tzLw,NoAdj,0.91,0.18,0.27,0,1,72.2,0.0222
25302528000661012,2530252800066101,Otor_66a.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,190.0,410.0,220.0,0.0,1,zLw,NoAdj,0.84,0.24,0.3,0,0,73.0,0.0222
25302528000661013,2530252800066101,Otor_66a.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,410.0,565.0,155.0,0.0,1,zYw,NoAdj,1.26,0.16,0.37,0,0,72.9,0.0167
25302528000661014,2530252800066101,Otor_66a.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,565.0,795.0,230.0,0.0,1,zLw,NoAdj,0.84,0.11,0.18,0,0,73.3,0.0222
25302528000661015,2530252800066101,Otor_66a.1,5,1000.0,1000.0,1000.0,2,2,Rh,1000.0,795.0,1005.0,210.0,0.0,1,zYw,NoAdj,1.26,0.15,0.44,0,0,70.6,0.0167
26312419000021011,2631241900002101,Puni_2a.1,3,1000.0,1000.0,1000.0,2,3,Rh,1000.0,0,240.0,240.0,0.0,1,tzYw,NoAdj,1.08,0.17,0.38,0,1,64.1,0.0222
26312419000021012,2631241900002101,Puni_2a.1,3,1000.0,1000.0,1000.0,2,3,Rh,1000.0,240.0,360.0,120.0,0.0,1,zYFs,NoAdj,1.26,0.12,0.47,0,0,54.3,0.0111
26312419000021013,2631241900002101,Puni_2a.1,3,1000.0,1000.0,1000.0,2,3,Rh,1000.0,360.0,510.0,150.0,0.0,1,zYFs,NoAdj,1.26,0.03,0.83,0,0,61.2,0.0111
26312419000021014,2631241900002101,Puni_2a.1,3,1000.0,1000.0,1000.0,2,3,Rh,1000.0,510.0,680.0,170.0,0.0,1,zYFf,NoAdj,1.54,0.01,0.91,0,0,63.8,0.0083
26312419000021015,2631241900002101,Puni_2a.1,3,1000.0,1000.0,1000.0,2,3,Rh,1000.0,680.0,1000.0,320.0,0.0,1,zYFf,NoAdj,1.54,0.03,0.88,0,0,65.4,0.0083
30152331000891011,3015233100089101,Temu_89a.1,2,1000.0,310.0,1000.0,5,2,Rh,1000.0,0,150.0,150.0,0.0,0,tYFs,Rh,0.87,0.18,0.46,0,1,60.4,0.0111
30152331000891012,3015233100089101,Temu_89a.1,2,1000.0,310.0,1000.0,5,2,Rh,1000.0,150.0,300.0,150.0,0.0,0,YFs,Rh,1.01,0.06,0.64,0,0,60.6,0.0042
30152331000891013,3015233100089101,Temu_89a.1,2,1000.0,310.0,1000.0,5,2,Rh,1000.0,300.0,600.0,300.0,0.0,0,YC,Rh,1.01,0.0,0.63,0,0,57.6,0.0008
30152331000891014,3015233100089101,Temu_89a.1,2,1000.0,310.0,1000.0,5,2,Rh,1000.0,600.0,800.0,200.0,0.0,0,YC,Rh,1.01,0.0,0.68,0,0,59.1,0.0008
30152331000891015,3015233100089101,Temu_89a.1,2,1000.0,310.0,1000.0,5,2,Rh,1000.0,800.0,1000.0,200.0,0.0,0,YC,Rh,1.01,0.05,0.6,0,0,57.5,0.0008
30153021000131011,3015302100013101,Tetk_13a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,0,170.0,170.0,0.035,1,tzLw,NoAdj,0.91,0.34,0.09,0,1,70.1,0.0222
30153021000131012,3015302100013101,Tetk_13a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,170.0,270.0,100.0,0.035,1,zLw,NoAdj,0.84,0.33,0.05,0,0,67.7,0.0222
30153021000131013,3015302100013101,Tetk_13a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,270.0,530.0,260.0,0.035,1,zLw,NoAdj,0.84,0.34,0.05,0,0,67.5,0.0222
30153021000131014,3015302100013101,Tetk_13a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,530.0,830.0,300.0,0.035,1,zLw,NoAdj,0.84,0.37,0.03,0,0,67.8,0.0222
30153021000131015,3015302100013101,Tetk_13a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,830.0,1000.0,170.0,0.02,1,zLw,NoAdj,0.84,0.39,0.03,0,0,67.7,0.0222
30153021000161011,3015302100016101,Tetk_16a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,0,110.0,110.0,0.0,1,tzLw,NoAdj,0.91,0.55,0.02,0,1,64.9,0.0222
30153021000161012,3015302100016101,Tetk_16a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,110.0,260.0,150.0,0.04,1,zLw,NoAdj,0.84,0.54,0.04,0,0,61.1,0.0222
30153021000161013,3015302100016101,Tetk_16a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,260.0,470.0,210.0,0.1,1,zSLw,NoAdj,0.84,0.5,0.04,0,0,62.4,0.0222
30153021000161014,3015302100016101,Tetk_16a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,470.0,870.0,400.0,0.15,1,zSLw,NoAdj,0.84,0.51,0.04,0,0,62.6,0.0222
30153021000161015,3015302100016101,Tetk_16a.1,5,1000.0,1000.0,1000.0,3,2,Rh,1000.0,870.0,1000.0,130.0,0.0,1,zLw,NoAdj,0.84,0.43,0.15,0,0,66.9,0.0222
