Id,SoilName,Depth,θs,θr,N,Ψvg,Ks,Km,Φ,θs_Min,θr_Min,N_Min,Ψvg_Min,Ks_Min,Km_Min,Φ_Min,θs_Max,θr_Max,N_Max,Ψvg_Max,Ks_Max,Km_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
12112828000651011,Barr_65a.1,225.0,0.4217951377564767,6.932101042331228e-11,1.1846065300625408,920.9715744423346,0.009926905358438737,1.0,0.47263157894736846,0.33675,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.449,0.13319107248158352,5.0,500000.0,0.009926905374688298,2.0,0.0,0.986141963773988,0.9753834682568341,0.9969004592911418,0.007912188656499066,0.015643508427521696,0.00018086888547643674,0.0
12112828000651012,Barr_65a.1,675.0,0.37033113677700974,0.017110855394221906,1.1942752855747003,1089.3634101660311,0.0063628738550643256,1.0,0.41052631578947374,0.2925,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.39,0.1304001652115367,5.0,500000.0,0.00636287391914437,2.0,0.0,0.989483614529872,0.9845286723569197,0.9944385567028243,0.005276723620901818,0.010396396668258133,0.00015705057354550365,0.0
12112828000651013,Barr_65a.1,750.0,0.24523356785312156,0.04215054551926159,1.434129311311489,176.62309721495714,0.20538054349538848,1.0,0.282421052631579,0.20122500000000004,0.0,1.000001,10.0,5.5000000000000004e-9,1.0,0.0,0.26830000000000004,0.04215054552115465,5.0,500000.0,0.2053805435020151,2.0,0.0,0.9767038733280393,0.9562555452900087,0.9971522013660699,0.008724598250019148,0.013996482965062862,0.0034527135349754325,0.0
12112828000651014,Barr_65a.1,1000.0,0.22249828181761888,0.009384627158255882,1.51707958485368,169.3802217086889,0.18413591984530925,1.0,0.2542368421052632,0.18114375000000002,0.0,1.000001,10.0,4.250000000000001e-9,1.0,0.0,0.24152500000000002,0.009384627158768002,5.0,500000.0,0.18413591984531058,2.0,0.0,0.982539282097769,0.9671980279081738,0.9978805362873641,0.007875386438701365,0.012989352751897516,0.002761420125505215,0.0
12112828000671011,Barr_67a.1,235.0,0.4303183002925939,0.04146094461937444,1.2528361028356347,591.666875756914,0.22277716437895362,1.0,0.4926315789473685,0.35100000000000003,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.468,0.11409999902020325,5.0,500000.0,0.22277716476001552,2.0,0.0,0.9828025253258506,0.9686754780764059,0.9969295725752954,0.011582761522661009,0.01940093543693422,0.0037645876083877983,0.0
12112828000671012,Barr_67a.1,445.0,0.3718027394193041,0.09244691285886876,1.4364149658469845,146.43397954676138,0.31503687831263216,1.0,0.4252631578947369,0.30300000000000005,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.404,0.09244691286826229,5.0,500000.0,0.3150368783357629,2.0,0.0,0.9737037719038897,0.9528614426787348,0.9945461011290445,0.013398682373058718,0.01981575362552272,0.006981611120594716,0.0
12112828000671013,Barr_67a.1,1020.0,0.3935641575318389,0.05020923541682666,1.4803455413674085,173.4014974626799,0.33580078814997594,1.0,0.4505263157894737,0.321,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.428,0.050209235761259324,5.0,500000.0,0.3358007884432749,2.0,0.0,0.9811550736573582,0.9645439917191161,0.9977661555956003,0.013349383392649287,0.021885767953111607,0.0048129988321869675,0.0
14112824000301011,Darn_30a.1,180.0,0.3973865156431105,0.09367566742747702,1.2337181260531085,492.821980565676,0.22335536018777893,1.0,0.4567631578947369,0.32544375000000003,0.0,1.000001,10.0,9.25e-9,1.0,0.0,0.43392500000000006,0.15251665049970237,5.0,500000.0,0.22335536166298453,2.0,0.0,0.9738341259380335,0.9494043298680482,0.9982639220080187,0.010833484328467048,0.01887042798513581,0.002796540671798288,0.0
14112824000301012,Darn_30a.1,395.0,0.334469390198765,0.1339713098055863,1.301655569302009,351.78339469806366,0.17036392461856126,1.0,0.3788157894736842,0.26990625,0.0,1.000001,10.0,8.25e-9,1.0,0.0,0.359875,0.15299994648364273,5.0,500000.0,0.17036392467669526,2.0,0.0,0.9762851302105655,0.9534922906963087,0.9990779697248223,0.007455640527337234,0.013295068396273146,0.0016162126584013216,0.0
14112824000301013,Darn_30a.1,695.0,0.22579242868019608,0.044469782682787506,1.4311397867037472,165.5265577279469,0.1881789623395111,1.0,0.2597631578947368,0.18508124999999997,0.0,1.000001,10.0,4.7499999999999995e-9,1.0,0.0,0.24677499999999997,0.04446978268534603,5.0,500000.0,0.188178962341158,2.0,0.0,0.9747347996705447,0.9534254349618215,0.9960441643792677,0.008248362053254382,0.012750620014434593,0.00374610409207417,0.0
14112824000301014,Darn_30a.1,1020.0,0.18499502990231603,0.019271988714756785,1.4237788890286898,212.25838580197296,0.15352685034237779,1.0,0.21371052631578946,0.15226874999999998,0.0,1.000001,10.0,3.2499999999999997e-9,1.0,0.0,0.20302499999999998,0.01927198872242639,5.0,500000.0,0.15352685036642583,2.0,0.0,0.9783572659346165,0.9577105806769937,0.9990039511922393,0.006456665498255389,0.011350800220580198,0.0015625307759305797,0.0
15352815000491011,Eyre_49a.1,160.0,0.4464487337763222,0.02419424997346976,1.2287441592357924,555.5062525491207,0.27880011459721776,1.0,0.5178947368421053,0.369,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.492,0.11426046759796878,5.0,500000.0,0.2788001154104429,2.0,0.0,0.9769816692291134,0.9562110815908684,0.9977522568673585,0.013935421707778697,0.023980750975085334,0.00389009244047206,0.0
