Id,H[mm],Theta
1,1000,0.27
1,10000,0.12
1,150000,0.06
2,1000,0.27
2,10000,0.12
2,150000,0.07
3,250,0.633
3,500,0.537
3,1000,0.468
3,2000,0.419
3,4000,0.392
3,10000,0.356
3,150000,0.3
4,250,0.604
4,500,0.532
4,1000,0.48
4,2000,0.444
4,4000,0.419
4,10000,0.387
4,150000,0.321
5,500,0.417
5,1000,0.403
5,2000,0.393
5,4000,0.383
5,10000,0.364
5,40000,0.329
5,150000,0.272
6,500,0.434
6,1000,0.421
6,2000,0.41
6,4000,0.396
6,10000,0.384
6,40000,0.342
6,150000,0.281
7,250,0.447
7,500,0.441
7,1000,0.432
7,2000,0.423
7,4000,0.415
7,10000,0.4
7,150000,0.359
8,250,0.616
8,500,0.616
8,1000,0.612
8,2000,0.599
8,4000,0.594
8,10000,0.581
8,150000,0.506
9,1000,0.342
9,150000,0.203
10,1000,0.365
10,150000,0.283
11,500,0.385
11,1000,0.379
11,2000,0.369
11,4000,0.356
11,10000,0.325
11,40000,0.298
11,150000,0.245
12,500,0.352
12,1000,0.345
12,2000,0.332
12,4000,0.327
12,10000,0.301
12,40000,0.264
12,150000,0.236
13,500,0.329
13,1000,0.324
13,2000,0.318
13,4000,0.311
13,10000,0.286
13,40000,0.266
13,150000,0.216
