Id,θs,θr,N,Ψvg,Ks,Km,Φ,θs_Min,θr_Min,N_Min,Ψvg_Min,Ks_Min,Km_Min,Φ_Min,θs_Max,θr_Max,N_Max,Ψvg_Max,Ks_Max,Km_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
1.0,0.5497749944300526,0.09123803893546546,1.3572505726810684,4435.520113813487,0.009346287727014404,1.0,0.5921544098264927,0.42191001700137604,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.562546689335168,0.18769778013297245,5.0,500000.0,0.009346287731781,2.0,0.0,0.9898307779722524,0.993277539275108,0.9863840166693967,0.005923009394730627,0.01144953760130408,0.0003964811881571734,0.0
2.0,0.5644415701715165,0.036702552527717945,1.2913714841294501,1305.0791459375382,0.01874588892831495,1.0,0.6019715337221527,0.42890471777703376,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.571872957036045,0.1444452463103336,5.0,500000.0,0.0187458889303,2.0,0.0,0.9907011543156284,0.9959294462730299,0.9854728623582268,0.0056648412423294745,0.010625325671898098,0.0007043568127608508,0.0
3.0,0.475605076018065,0.12928036148688907,1.2704879992967977,3351.214867287219,0.009631576100107321,1.0,0.5211271659811105,0.37130310576154124,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.495070807682055,0.2,5.0,500000.0,0.009631576111751,2.0,0.0,0.9869506747088944,0.9876911735798267,0.9862101758379621,0.005416067746201914,0.010466751497491494,0.00036538399491233404,0.0
4.0,0.5145325697910857,0.17111910460351945,1.2045829766695202,772.8177565594111,0.0724643056642911,1.0,0.6243318843462958,0.4448364675967358,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.593115290128981,0.2,5.0,500000.0,0.072464305889183,2.0,0.0,0.9479569317163283,0.8982016493327679,0.9977122140998888,0.01626151966306841,0.03158029518856031,0.0009427441375765157,0.0
5.0,0.474833299259441,0.1999999993168948,1.136994842770971,2524.88046064387,0.041194614405796505,1.0,0.5538437241366442,0.394613653447359,0.0,1.000001,10.0,1.0e-8,1.0,0.0,0.526151537929812,0.2,5.0,500000.0,0.04119461451617701,2.0,0.0,0.9288792149393095,0.8646507716687767,0.9931076582098421,0.01000471723679089,0.01907472884028842,0.0009347056332933603,0.0
