Id,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
1.0,0.5506469681651609,0.17989085882169803,0.06048700533826366,14980.415180456486,2.706103410237572,0.8068595995949492,0.7675,10.0,0.0,0.4442947922519145,0.5796419675080906,0.41299490184951454,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.550659869132686,0.2,0.060488543022434005,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999979595803,0.9999999978939464,0.9999999980252141,2.7465324976758687e-6,4.776673321529392e-6,7.163916738223453e-7,0.33341743278162256
2.0,0.4635878475885624,0.1583758056362413,0.020519157892494783,33491.64968876262,2.5281486709442555,0.9446109100938633,0.7675,10.0,0.0,0.4379101386190872,0.4880034272715011,0.3477024419309445,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.463603255907926,0.2,0.020520493773350995,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999912355801,0.9999999921180693,0.9999999903530908,4.127844278764997e-6,7.671823062448291e-6,5.838654950817026e-7,0.006715211700807935
3.0,0.5442073640311162,0.19994304075195898,0.07342154234376312,17634.746543451052,3.521229615411958,0.8992501545743531,0.7675,10.0,0.0,0.48937855622548254,0.5728587328718716,0.4081618471712085,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.544215796228278,0.2,0.073422802773406,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999990643333,0.9999999989879509,0.9999999991407159,1.7365837011500604e-6,2.8998300188668065e-6,5.733373834333146e-7,0.1686431193109621
4.0,0.5305399014309108,0.005638177236911188,0.013550399658288768,59143.581643793266,1.404508108816937,0.8050477661040354,0.7675,10.0,0.0,0.42710996247600985,0.5584864885593779,0.3979216230985567,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.530562164131409,0.08192586688964897,0.013551239828693998,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999962314718,0.9999999970512788,0.9999999954116648,4.111980208542987e-6,7.895758148594709e-6,3.282022684912654e-7,0.3346733848961812
5.0,0.5256657693785667,0.1854956243651099,0.00435205979528253,20447.583444930187,2.7726792462440177,0.8731508579581888,0.7675,10.0,0.0,0.4589855175321469,0.5533350705094221,0.3942512377379632,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.525668316983951,0.2,0.004352174826905,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999910380201,0.9999999904413069,0.9999999916347331,4.698857770559666e-6,9.288669879639513e-6,1.0904566147981993e-7,0.20572389847867284
6.0,0.4761927996472955,0.17473303259797024,0.0421492034866217,13529.312806831349,2.655718804313741,0.9241619845019113,0.7675,10.0,0.0,0.4400792827275657,0.5012702151590296,0.35715502830080853,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.47620670440107804,0.2,0.04214945569336401,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999984145922,0.9999999968775527,0.9999999999516318,2.6455431801993452e-6,5.211932906800964e-6,7.915345359772648e-8,0.006390455384582315
7.0,0.5335849037556164,0.07674658144501131,0.047306135338751894,61847.19525094753,2.074013819576856,0.7504291069964298,0.7675,10.0,0.0,0.4004176428321032,0.5617256462952495,0.4002295229853652,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.533639363980487,0.16418796562240687,0.047308764647941,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999684565447,0.9999999423445729,0.9999999945685166,1.3776216423721597e-5,2.6475734279795756e-5,1.0766985676474379e-6,0.4231632505955116
8.0,0.5336344768891246,0.07654481938748976,0.04730796273757467,61953.897358172384,2.0743409986419716,0.7503199916886121,0.7675,10.0,0.0,0.4003966162642048,0.5617256462952495,0.4002295229853652,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.533639363980487,0.16418796562240687,0.047308764647941,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999986409732,0.9999999987248824,0.9999999985570639,2.2461484281943863e-6,3.937340977043284e-6,5.549558793454888e-7,0.42340418807334806
9.0,0.5079165261865214,0.1999469455473563,0.07262985423218396,55831.900471482295,3.4562792096821724,0.8256464879522466,0.7675,10.0,0.0,0.4193594960188067,0.5346592690997284,0.3809447292335565,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.507926305644742,0.2,0.072630850940048,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9999999981694349,0.9999999969015625,0.9999999994373072,2.159787897438193e-6,3.861255424813409e-6,4.5832037006297744e-7,0.2748005257684494
10.0,0.4769313154165496,0.1999405024856918,0.030569598092587757,9243.706016603299,3.3543012463853565,0.8790803669916073,0.7675,10.0,0.0,0.41926095578617045,0.5020339794334484,0.357699210346332,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.476932280461776,0.2,0.030570082399416998,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.999999994122365,0.9999999904990132,0.9999999977457167,3.99668734155821e-6,7.5988052986000216e-6,3.945693845163976e-7,0.17598296389167148
