Id,θs,θr,λch,Ψch,Ks,Φ,Ψga,θs_Min,θr_Min,λch_Min,Ψch_Min,Ks_Min,Φ_Min,θs_Max,θr_Max,λch_Max,Ψch_Max,Ks_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
1.0,0.573157517,0.0,0.16611659816043994,348.9654611473776,0.03705541604298375,0.6033237021052631,581.8653236712539,0.42986813775,0.0,0.087719298,90.0,1.0e-8,0.0,0.573157517,0.2,0.709219858,856.0,0.044967823,0.0,0.9356536490608315,0.9233819883789779,0.9479253097426851,0.025478975618714487,0.04710734617664871,0.003850605060780263,0.0
2.0,0.562546689,0.0,0.12912522894447728,329.53039984186023,0.007205544385282664,0.5921544094736843,567.0510677973335,0.42191001675000006,0.0,0.087719298,90.0,1.0e-8,0.0,0.562546689,0.2,0.709219858,856.0,0.009346288,0.0,0.9206436429536934,0.9241703660377311,0.9171169198696556,0.019716182090682703,0.03845415657789093,0.0009782076034744764,0.0
3.0,0.5114956295872238,0.0,0.08771929800000003,301.78088431530523,0.030921545372808328,0.6243589821052632,540.6907512042859,0.44485577475,0.0,0.087719298,90.0,1.0e-8,0.0,0.593141033,0.2,0.709219858,856.0,0.061277758,0.0,0.6803910381647512,0.7109368608239908,0.6498452155055117,0.026657898803453317,0.04306311669803959,0.01025268090886704,0.0
4.0,0.502777595,0.0,0.0877192980000001,823.6315350970881,0.008090187167208232,0.5292395736842105,1475.6731674293071,0.37708319625,0.0,0.087719298,90.0,1.0e-8,0.0,0.502777595,0.2,0.709219858,856.0,0.024351819000000004,0.0,0.6067187903911936,0.8747601837962344,0.33867739698615285,0.01389473075266089,0.022205575143465727,0.00558388636185605,0.0
5.0,0.502777595,0.0,0.08771929800000007,823.6315948498274,0.008090187026154558,0.5292395736842105,1475.6732744862982,0.37708319625,0.0,0.087719298,90.0,1.0e-8,0.0,0.502777595,0.2,0.709219858,856.0,0.024351819000000004,0.0,0.6067187903911947,0.8747601983680033,0.33867738241438605,0.013894730137510275,0.022205573851646045,0.005583886423374505,0.0
6.0,0.5756605219999997,0.0,0.21049421392061718,329.14700653240874,0.04145524798085475,0.6059584442105262,530.8941769325548,0.43174539149999996,0.0,0.087719298,90.0,1.0e-8,0.0,0.575660522,0.2,0.709219858,856.0,0.052402868,0.0,0.9355284854955788,0.9422251706831332,0.9288318003080245,0.025745332214818895,0.04635794801721945,0.005132716412418335,0.0
7.0,0.521456309,0.0,0.15736668958404498,308.6964837972669,0.029288758880140254,0.5489013778947368,518.3945134012881,0.39109223174999996,0.0,0.087719298,90.0,1.0e-8,0.0,0.521456309,0.2,0.709219858,856.0,0.040389248,0.0,0.9123683419335226,0.9414065517564854,0.8833301321105598,0.019977341544650813,0.035149788454652504,0.004804894634649123,0.0
8.0,0.5489221733701901,0.0,0.12322871678931853,90.00000000000232,0.03030824951738108,0.6014767263157895,155.7084836375309,0.4285521675,0.0,0.087719298,90.0,1.0e-8,0.0,0.57140289,0.2,0.709219858,856.0,0.051359830999999995,0.0,0.8341584896850569,0.92065261568095,0.7476643636891638,0.024115267859327598,0.040488074157222415,0.007742461561432778,0.0
9.0,0.520320868999993,0.0,0.12535522620258283,262.80603680020994,0.008098685917030094,0.5477061778947369,453.78968015806703,0.39024065175,0.0,0.087719298,90.0,1.0e-8,0.0,0.520320869,0.2,0.709219858,856.0,0.017424733,0.0,0.7628421175067431,0.971558382567654,0.5541258524458322,0.012289269765586006,0.02118370033860301,0.0033948391925690035,0.0
10.0,0.5718729569999836,0.0,0.17254570818407586,269.33702910900496,0.010392999348921555,0.6019715336842105,446.80832626673083,0.42890471774999994,0.0,0.087719298,90.0,1.0e-8,0.0,0.571872957,0.2,0.709219858,856.0,0.018745889,0.0,0.8264412548660648,0.9696691212588021,0.6832133884733274,0.016146587667260417,0.029004006968305514,0.003289168366215324,0.0
