Horizon,0.0cm,10.0cm,20.0cm,30.0cm,40.0cm,50.0cm,60.0cm,70.0cm,80.0cm,90.0cm,100.0cm,200.0cm,300.0cm,400.0cm,500.0cm,600.0cm,700.0cm,800.0cm,900.0cm,1000.0cm,2000.0cm,3000.0cm,4000.0cm,5000.0cm,6000.0cm,7000.0cm,8000.0cm,9000.0cm,10000.0cm,15000.0cm,20000.0cm,30000.0cm,100000.0cm
1.0,0.44986658668587076,0.4141514133646046,0.41355986077072787,0.4130486110959394,0.4125690352300937,0.4121148251654,0.41168204111084994,0.4112677389300363,0.4108696281616052,0.4104858810619675,0.41011500884376906,0.4069147004683626,0.40430667543141763,0.4020608430987315,0.40006813557848775,0.39826581018125085,0.3966136007800375,0.3950837488274861,0.3936561199042603,0.3923155416831529,0.3819349061553913,0.3745675093435914,0.3687616337889163,0.3639375296776374,0.35979633290684215,0.3561612226511224,0.35291794313265135,0.34998795902384205,0.3473147498883938,0.3366147161957103,0.32869146650686043,0.31720043700462885,0.2827596340792118
2.0,0.44986658668587076,0.4141514133646046,0.41355986077072787,0.4130486110959394,0.4125690352300937,0.4121148251654,0.41168204111084994,0.4112677389300363,0.4108696281616052,0.4104858810619675,0.41011500884376906,0.4069147004683626,0.40430667543141763,0.4020608430987315,0.40006813557848775,0.39826581018125085,0.3966136007800375,0.3950837488274861,0.3936561199042603,0.3923155416831529,0.3819349061553913,0.3745675093435914,0.3687616337889163,0.3639375296776374,0.35979633290684215,0.3561612226511224,0.35291794313265135,0.34998795902384205,0.3473147498883938,0.3366147161957103,0.32869146650686043,0.31720043700462885,0.2827596340792118
3.0,0.5808805356834923,0.5257784786588154,0.5249780829702002,0.5242822925235162,0.5236227809639505,0.5229933436516877,0.5223900236609835,0.5218096792196896,0.5212497615933034,0.5207081762441162,0.5201831792873318,0.5156029545264837,0.5118221517516676,0.5085414153481549,0.5056148003891905,0.5029569758969832,0.5005125603871501,0.4982430496294693,0.4961203255062788,0.4941230810885232,0.478551305639225,0.4674107164799528,0.45859187728552997,0.45124222624405586,0.44491908998234175,0.4393592310580028,0.4343918941162679,0.4298993438344689,0.4257966310516389,0.40934248721180744,0.39713080590763633,0.3793891361411984,0.3261065324149749
4.0,0.620337866549819,0.6107317772598325,0.609782227991961,0.608893907783656,0.6080519264156018,0.6072496656860381,0.6064817745348158,0.6057439752850752,0.6050328271169692,0.604345524135749,0.6036797442791759,0.5978859226605046,0.5931170032054375,0.588985608500795,0.5853042445131456,0.581963734315932,0.5788934164145384,0.5760442644829025,0.5733805346206055,0.5708751771868408,0.5513649070241201,0.5374238876746497,0.5263946732605915,0.5172058983226039,0.5093020698395613,0.5023531770578367,0.4961452997888497,0.49053101967942847,0.48540401572849223,0.46484134458613013,0.449578022537946,0.4273954625029712,0.36067969096486463
