Id,Tinfilt[s],Cumul_Infiltration[mm]
30,149,19
30,351,37
30,723,55
30,1338,74
30,1922,91
30,2259,109
30,2946,128
30,3624,145
30,4386,161
30,5107,177
30,5919,193
30,6649,209
30,7408,224
30,8372,239
30,9236,260
32,106,19
32,839,39
32,1901,58
32,3042,76
32,4234,95
32,5550,113
32,6886,133
33,97,20
33,726,39
33,1683,57
33,2772,74
33,3888,92
33,5065,111
33,6229,128
33,7211,145
34,49,18
34,236,36
34,458,54
34,738,71
34,1046,88
34,1373,105
34,1716,126
34,2111,147
34,2555,167
34,2960,186
34,3399,206
34,3849,224
34,4292,243
34,4722,261
34,5133,279
34,5563,297
34,5913,314
34,6271,331
34,6664,347
37,851,19
37,2835,39
37,4707,57
37,6230,76
105,204,21
105,757,40
105,1496,59
105,2438,78
105,3401,99
105,4456,116
107,189,17
107,1057,34
107,2555,51
107,4741,68
108,129,20
108,342,36
108,384,55
108,918,89
108,1296,121
108,1578,136
108,1802,150
108,2147,163
108,2171,181
108,2767,193
108,2795,206
108,3127,217
108,3396,234
108,3403,251
108,3722,263
108,3872,274
108,4370,300
108,4378,315
108,4782,330
108,5061,346
108,5386,360
108,5596,372
108,5829,384
108,6095,398
108,6286,419
108,6768,437
108,6990,456
108,7153,476
114,98,20
114,1131,38
114,2108,57
114,3166,77
114,4251,98
114,5411,116
114,6431,135
114,7426,153
118,8,16
118,30,31
118,80,47
118,159,62
118,240,77
118,318,91
118,318,105
118,486,124
118,701,146
118,853,164
118,1022,184
118,1206,202
118,1420,219
118,1582,237
118,1775,255
118,1968,273
118,2174,291
118,2361,307
118,2529,323
118,2709,338
118,2909,354
118,3073,369
118,3239,384
