Id,Theta_Ini[-],Thetas[-],RingRadius[mm],Lambda[-],Beta[-]
30,0.4169,0.4772,150,0.75,0.6
32,0.481,0.5032,150,0.75,0.6
33,0.4745,0.5113,150,0.75,0.6
34,0.4756,0.5053,150,0.75,0.6
37,0.4834,0.4892,150,0.75,0.6
105,0.4549,0.4992,150,0.75,0.6
107,0.4701,0.5093,150,0.75,0.6
108,0.4297,0.4772,150,0.75,0.6
114,0.4745,0.4912,150,0.75,0.6
118,0.4569,0.5153,150,0.75,0.6
